ref	name	length	coverage	uReads	abundance	median	callable	callablePct	confirmed	confirmedPct	snps	snpPct	multi	multiPct	lowmq	lowmqPct	high	highPct	gapCount	gapLength
Ente_gallinarum_FDAARGOS_728	NZ_CP046307.1	3274932	0.012	425	0.002	0	7077	0.216	7011	99.067	66	0.942	71	1.003	3235	0.099	2346	0.072	2	2196307
Ente_casseliflavus_FDAARGOS_1120	NZ_CP068132.1	3438280	0.004	10	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	3271	0.095	419	0.012	0	0
Ente_faecalis_NCTC8745	NZ_LR134312.1	2719199	0.010	10	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	2208	0.081	201	0.007	2	1143240
Ente_faecalis_NCTC8732	NZ_LR594051.1	2864420	0.010	12	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	2271	0.079	266	0.009	1	617815
Ente_faecalis_LD33	NZ_CP014949.1	2803429	0.010	12	0.000	0	110	0.004	104	94.545	6	5.455	0	0.000	3345	0.119	314	0.011	2	1240543
Ente_faecium_E7171	NZ_LR135203.1	2804950	0.011	23	0.000	0	623	0.022	623	100.000	0	0.000	0	0.000	8032	0.286	582	0.021	2	1696520
Ente_faecalis_092160007-3	NZ_CP046113.1	2675479	0.009	20	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	2475	0.093	442	0.017	1	922936
Ente_faecalis_29212	NZ_CP008816.1	2939973	0.021	215	0.007	0	7112	0.242	7098	99.803	14	0.197	0	0.000	5382	0.183	277	0.009	3	1366604
Ente_faecalis_SGAir0397	NZ_CP039434.1	2696714	0.009	10	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	2858	0.106	349	0.013	1	1005701
TOTAL	-	26217376	0.011	737	0.012	0	14922	0.057	14836	99.424	86	0.579	71	0.476	33077	0.126	5196	0.020	14	10189666
