ref	name	length	coverage	uReads	abundance	median	callable	callablePct	confirmed	confirmedPct	snps	snpPct	multi	multiPct	lowmq	lowmqPct	high	highPct	gapCount	gapLength
Ente_gallinarum_FDAARGOS_728	NZ_CP046307.1	3274932	0.009	8	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	8700	0.266	2189	0.067	2	1511974
Ente_casseliflavus_FDAARGOS_1120	NZ_CP068132.1	3438280	0.005	7	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	5654	0.164	1355	0.039	1	1123826
Ente_faecalis_NCTC8745	NZ_LR134312.1	2719199	89.179	235903	4.641	119	400782	14.739	398443	99.416	2331	0.582	123	0.031	2288024	84.143	509153	18.724	10	119974
Ente_faecalis_NCTC8732	NZ_LR594051.1	2864420	53.766	199367	2.955	92	271716	9.486	268812	98.931	2891	1.065	358	0.132	2299009	80.261	884398	30.875	14	173206
Ente_faecalis_LD33	NZ_CP014949.1	2803429	61.348	394646	4.732	96	1198358	42.746	1197195	99.903	1162	0.097	2459	0.205	2195748	78.324	832909	29.710	5	60208
Ente_faecium_E7171	NZ_LR135203.1	2804950	0.026	2397	0.006	0	2773	0.099	2769	99.856	4	0.144	0	0.000	17110	0.610	25816	0.920	4	1847407
Ente_faecalis_092160007-3	NZ_CP046113.1	2675479	76.468	429975	3.928	110	652459	24.387	648036	99.322	4417	0.677	166	0.025	2119199	79.208	643457	24.050	8	82215
Ente_faecalis_29212	NZ_CP008816.1	2939973	57.416	209622	3.053	94	474359	16.135	472041	99.511	2311	0.488	685	0.144	2417050	82.213	874209	29.735	13	171470
Ente_faecalis_SGAir0397	NZ_CP039434.1	2696714	39.997	254976	1.671	72	388916	14.422	385337	99.080	3566	0.918	253	0.065	2083928	77.277	906039	33.598	8	100850
TOTAL	-	26217376	35.759	1726901	20.985	16	3389363	12.928	3372633	99.506	16682	0.493	4044	0.119	13434422	51.242	4679525	17.849	65	5191130
