ref	name	length	coverage	uReads	abundance	median	callable	callablePct	confirmed	confirmedPct	snps	snpPct	multi	multiPct	lowmq	lowmqPct	high	highPct	gapCount	gapLength
Ente_gallinarum_FDAARGOS_728	NZ_CP046307.1	3274932	0.009	76	0.000	0	1889	0.058	1835	97.141	54	2.859	0	0.000	7666	0.234	2739	0.084	1	797967
Ente_casseliflavus_FDAARGOS_1120	NZ_CP068132.1	3438280	0.008	60	0.000	0	474	0.014	429	90.506	45	9.494	0	0.000	8095	0.235	2587	0.075	1	739272
Ente_faecalis_NCTC8745	NZ_LR134312.1	2719199	1.457	1076	0.016	1	17464	0.642	17400	99.634	64	0.366	0	0.000	997678	36.690	3150	0.116	6	106641
Ente_faecalis_NCTC8732	NZ_LR594051.1	2864420	1.472	1939	0.022	1	46062	1.608	45461	98.695	601	1.306	34	0.074	1026410	35.833	3662	0.128	13	168566
Ente_faecalis_LD33	NZ_CP014949.1	2803429	2.767	22187	0.204	3	740899	26.428	740693	99.972	206	0.028	125	0.017	1186865	42.336	1030	0.037	7	72578
Ente_faecium_E7171	NZ_LR135203.1	2804950	0.056	857	0.002	0	20627	0.735	20535	99.554	92	0.447	62	0.301	25641	0.914	10358	0.369	9	2529249
Ente_faecalis_092160007-3	NZ_CP046113.1	2675479	1.418	2496	0.017	1	48667	1.819	48425	99.503	242	0.497	7	0.014	897945	33.562	2631	0.098	5	57083
Ente_faecalis_29212	NZ_CP008816.1	2939973	1.799	5422	0.061	1	154560	5.257	154274	99.815	286	0.185	43	0.028	1183475	40.255	4646	0.158	10	100992
Ente_faecalis_SGAir0397	NZ_CP039434.1	2696714	1.457	6006	0.030	1	149139	5.530	148740	99.732	399	0.268	10	0.007	804041	29.816	2435	0.090	6	73468
TOTAL	-	26217376	1.113	40119	0.353	0	1179781	4.500	1177792	99.831	1989	0.169	281	0.024	6137816	23.411	33238	0.127	58	4645816
