sample1	sample2	ref	scaffold	length	common	commonPct	single	singlePct	singleAgree	singleAgreePct	sharedAlleles	sharedAllelesPct	variants	variantPct	commonVariant	commonVariantPct	variantExact	variantExactPct	AnotB	AnotBpct	AnotBweak	AnotBweakPct	BnotA	BnotApct	BnotAweak	BnotAweakPct	Agaps	AsharedGaps	AgapPct	Bgaps	BsharedGaps	BgapPct	gapJaccardSim
UMB11_03	UMB11_03.1	Esch_coli_1190	NZ_CP023386.1	4900891	126732	2.5859	126732	100.0000	126725	99.9945	126725	99.9945	28	0.0221	21	75.0000	21	75.0000	2	7.1429	2	7.1429	5	17.8571	5	17.8571	185085	163905	88.5566	172806	172806	100.0000	0.9919
UMB11_03	UMB11_03.1	Esch_coli_H3	NZ_CP010167.1	4630919	1251	0.0270	1251	100.0000	1251	100.0000	1251	100.0000	10	0.7994	10	100.0000	10	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	304429	57107	18.7587	238519	74363	31.1770	0.9485
UMB11_03	UMB11_03.1	Esch_coli_NGF1	NZ_CP016007.1	5026105	802	0.0160	802	100.0000	802	100.0000	802	100.0000	12	1.4963	12	100.0000	12	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	501624	313015	62.4003	595621	415740	69.7994	0.9098
UMB11_03	UMB11_03.1	Esch_coli_clone_D_i14	NC_017652.1	5038386	793	0.0157	793	100.0000	793	100.0000	793	100.0000	4	0.5044	4	100.0000	4	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	702379	359573	51.1936	620059	418461	67.4873	0.9203
UMB11_03	UMB11_03.1	Esch_coli_f974b26a-5e81-11e8-bf7f-3c4a9275d6c8	NZ_LR536430.1	4975029	1184	0.0238	1184	100.0000	1184	100.0000	1184	100.0000	13	1.0980	13	100.0000	13	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	586220	219203	37.3926	469483	266051	56.6689	0.9103
UMB11_03	UMB11_04.1	Esch_coli_1190	NZ_CP023386.1	4900891	37558	0.7664	37558	100.0000	37556	99.9947	37556	99.9947	6	0.0160	4	66.6667	4	66.6667	0	0.0000	0	0.0000	2	33.3333	2	33.3333	185085	133176	71.9540	139592	139592	100.0000	0.9986
UMB11_03	UMB11_04.1	Esch_coli_H3	NZ_CP010167.1	4630919	334	0.0072	334	100.0000	334	100.0000	334	100.0000	4	1.1976	4	100.0000	4	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	304429	57107	18.7587	144878	144878	100.0000	0.9687
UMB11_03	UMB11_04.1	Esch_coli_NGF1	NZ_CP016007.1	5026105	426	0.0085	426	100.0000	426	100.0000	426	100.0000	4	0.9390	4	100.0000	4	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	501624	226627	45.1787	175222	175222	100.0000	0.9651
UMB11_03	UMB11_04.1	Esch_coli_clone_D_i14	NC_017652.1	5038386	354	0.0070	354	100.0000	353	99.7175	353	99.7175	2	0.5650	1	50.0000	1	50.0000	1	50.0000	1	50.0000	0	0.0000	0	0.0000	702379	0	0.0000	0	0	0.0000	1.0000
UMB11_03	UMB11_04.1	Esch_coli_f974b26a-5e81-11e8-bf7f-3c4a9275d6c8	NZ_LR536430.1	4975029	194	0.0039	194	100.0000	194	100.0000	194	100.0000	1	0.5155	1	100.0000	1	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	586220	68118	11.6199	331642	170798	51.5007	0.9333
UMB11_03	UMB11_06	Esch_coli_1190	NZ_CP023386.1	4900891	336010	6.8561	335954	99.9833	335809	99.9568	335865	99.9568	279	0.0830	134	48.0287	78	27.9570	23	8.2437	17	6.0932	174	62.3656	160	57.3477	185085	163905	88.5566	165099	158136	95.7825	0.9895
UMB11_03	UMB11_06	Esch_coli_H3	NZ_CP010167.1	4630919	10395	0.2245	10394	99.9904	10281	98.9128	10282	98.9129	116	1.1159	3	2.5862	2	1.7241	112	96.5517	51	43.9655	2	1.7241	2	1.7241	304429	152232	50.0057	120001	52683	43.9021	0.9343
UMB11_03	UMB11_06	Esch_coli_NGF1	NZ_CP016007.1	5026105	3551	0.0707	3551	100.0000	3551	100.0000	3551	100.0000	36	1.0138	36	100.0000	36	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	501624	355958	70.9611	585332	210297	35.9278	0.9002
