sample	start	end
1	2884083	2884204
1	4818816	4818871
1	4860534	4860606
1	4873681	4873698
1	4873699	4873703
1	4873704	4873711
1	4873712	4873713
1	4873714	4873715
1	4873716	4873719
1	4873720	4873725
1	4873726	4873727
1	4873728	4873744
1	4873745	4873748
1	4873749	4873759
1	4873760	4873776
1	4873778	4873796
1	4873798	4873799
2	908245	908265
2	908266	908271
2	908272	908278
2	908279	908312
2	908314	908320
2	908321	908327
2	908328	908336
2	1592578	1592588
2	1592589	1592590
2	1592592	1592593
2	1592594	1592595
2	1592597	1592608
2	1592611	1592642
2	1592643	1592651
2	3400875	3400957
2	3400958	3400983
2	3400984	3400985
2	4645316	4645321
2	4645322	4645349
2	4645350	4645352
2	4645353	4645387
2	4645389	4645398
3	90	224
3	476	485
3	499	619
3	620	624
3	699	893
3	894	913
3	914	928
3	929	935
3	937	943
3	944	962
3	964	965
3	966	980
3	981	990
3	991	999
3	1000	1009
3	1010	1012
3	1013	1057
3	1058	1059
3	1060	1070
3	1071	1114
3	2234	2272
3	2364	2545
3	2559	2565
3	2591	2660
3	2683	2692
3	2699	2784
3	3020	3031
3	3034	3165
3	3166	3171
3	3216	3231
3	3280	3317
3	4487	4527
3	9786	9816
3	9817	9843
3	10485	10495
3	10524	10527
3	10528	10586
3	10613	10617
3	10618	10625
3	10630	10713
3	13219	13246
3	13247	13313
3	13314	13317
3	13318	13322
3	13323	13327
3	13328	13329
3	13330	13334
3	13335	13337
3	13560	13563
3	14068	14168
3	14226	14323
3	14857	14869
3	15037	15069
3	15235	15244
3	15245	15267
3	15268	15270
3	15271	15272
3	15274	15304
3	15305	15336
3	15350	15424
3	15425	15435
3	15436	15461
3	16210	16401
3	16402	16406
3	16408	16416
3	16418	16433
3	16434	16463
3	16522	16539
3	16563	16570
3	16572	16573
3	16574	16575
3	16578	16583
3	16584	16588
3	16589	16590
3	16591	16596
3	16597	16598
3	16599	16673
3	16835	16838
3	16839	16840
3	16844	16847
3	16851	16852
3	16858	16860
3	16862	16863
3	16865	16867
3	16868	16872
3	16874	16877
3	16879	16881
3	16886	16907
3	16908	16926
3	16928	16940
3	16941	16942
3	16943	16946
3	16947	16948
3	16949	16968
3	16969	16973
3	16974	16975
3	17021	17044
3	17046	17048
3	17049	17050
3	17051	17071
3	17072	17074
3	17075	17077
3	17078	17079
3	17080	17185
3	17204	17305
3	18155	18256
3	18285	18357
3	18465	18471
3	18472	18473
3	18474	18497
3	18498	18500
3	18525	18530
3	18531	18537
3	18538	18547
3	18548	18555
3	18556	18557
3	18558	18559
3	18560	18564
3	18565	18569
3	18570	18574
3	18575	18577
3	18578	18579
3	18580	18590
3	18591	18594
3	18595	18596
3	18617	18626
3	18642	18647
3	18648	18650
3	18651	18652
3	18653	18705
3	18706	18768
3	18769	18771
3	18772	18777
3	18779	18785
3	18802	18857
3	18973	19056
3	19057	19064
3	19116	19199
3	19329	19344
3	19425	19430
3	19450	19526
3	19563	19657
3	19659	19664
3	19674	19874
3	19875	19876
3	22195	22217
3	22218	22237
3	22238	22281
3	22282	22490
3	22708	22806
3	22981	23031
3	23620	23721
3	23731	23732
3	23733	23734
3	23736	23745
3	23819	23827
3	23829	23830
3	23866	23867
3	23871	23872
3	23873	23875
3	23876	23880
3	23881	23885
3	23887	23929
3	23930	23937
3	23939	23967
