sample	start	end	coverage
1	0	9999	2.8
1	10000	19999	0.4
1	20000	29999	0.0
1	30000	39999	0.2
1	40000	49999	0.9
1	50000	59999	0.2
1	60000	69999	0.1
1	70000	79999	0.1
1	80000	89999	0.2
1	90000	99999	0.0
1	100000	109999	0.0
1	110000	119999	0.1
1	120000	129999	0.3
1	130000	139999	0.9
1	140000	149999	0.2
1	150000	159999	0.1
1	160000	169999	0.3
1	170000	179999	0.0
1	180000	189999	0.1
1	190000	199999	0.1
1	200000	209999	0.0
1	210000	219999	0.0
1	220000	229999	0.3
1	230000	239999	0.6
1	240000	249999	0.2
1	250000	259999	0.2
1	260000	269999	0.0
1	270000	279999	1.0
1	280000	289999	0.1
1	290000	299999	0.2
1	300000	309999	0.3
1	310000	319999	0.0
1	320000	329999	0.6
1	330000	339999	0.3
1	340000	349999	0.2
1	350000	359999	0.3
1	360000	369999	0.2
1	370000	379999	0.1
1	380000	389999	0.5
1	390000	399999	1.0
1	400000	409999	0.3
1	410000	419999	0.3
1	420000	429999	0.4
1	430000	439999	0.1
1	440000	449999	0.7
1	450000	459999	0.0
1	460000	469999	0.3
1	470000	479999	0.4
1	480000	489999	1.2
1	490000	499999	0.1
1	500000	509999	1.8
1	510000	519999	4.9
1	520000	529999	0.9
1	530000	539999	0.4
1	540000	549999	0.9
1	550000	559999	0.4
1	560000	569999	0.5
1	570000	579999	0.5
1	580000	589999	0.7
1	590000	599999	0.1
1	600000	609999	1.0
1	610000	619999	0.5
1	620000	629999	1.1
1	630000	639999	1.0
1	640000	649999	0.9
1	650000	659999	0.1
1	660000	669999	0.2
1	670000	679999	0.2
1	680000	689999	0.2
1	690000	699999	0.4
1	700000	709999	0.2
1	710000	719999	0.0
1	720000	729999	0.2
1	730000	739999	0.7
1	740000	749999	0.4
1	750000	759999	0.3
1	760000	769999	0.7
1	770000	779999	0.5
1	780000	789999	0.2
1	790000	799999	0.3
1	800000	809999	0.1
1	810000	819999	0.1
1	820000	829999	0.1
1	830000	839999	0.1
1	840000	849999	0.1
1	850000	859999	0.0
1	860000	869999	0.2
1	870000	879999	0.3
1	880000	889999	0.3
1	890000	899999	0.6
1	900000	909999	0.2
1	910000	919999	0.1
1	920000	929999	0.1
1	930000	939999	0.6
1	940000	949999	0.1
1	950000	959999	0.2
1	960000	969999	0.3
1	970000	979999	0.1
1	980000	989999	0.1
1	990000	999999	0.0
1	1000000	1009999	0.0
1	1010000	1019999	0.0
1	1020000	1029999	0.0
1	1030000	1039999	0.7
1	1040000	1049999	0.2
1	1050000	1059999	0.1
1	1060000	1069999	0.3
1	1070000	1079999	0.5
1	1080000	1089999	0.5
1	1090000	1099999	0.3
1	1100000	1109999	0.1
1	1110000	1119999	0.1
1	1120000	1129999	0.2
1	1130000	1139999	0.5
1	1140000	1149999	0.1
1	1150000	1159999	0.4
1	1160000	1169999	0.1
1	1170000	1179999	0.2
1	1180000	1189999	0.6
1	1190000	1199999	0.6
1	1200000	1209999	0.3
1	1210000	1219999	0.1
1	1220000	1229999	0.5
1	1230000	1239999	0.6
1	1240000	1249999	0.0
1	1250000	1259999	0.0
1	1260000	1269999	0.0
1	1270000	1279999	0.6
1	1280000	1289999	0.3
1	1290000	1299999	0.3
1	1300000	1309999	0.8
1	1310000	1319999	0.3
1	1320000	1329999	0.3
1	1330000	1339999	0.0
1	1340000	1349999	0.0
1	1350000	1359999	0.3
1	1360000	1369999	0.0
1	1370000	1379999	0.2
1	1380000	1389999	0.3
1	1390000	1399999	0.4
1	1400000	1409999	0.0
1	1410000	1419999	0.4
1	1420000	1429999	0.3
1	1430000	1439999	0.2
1	1440000	1449999	0.2
1	1450000	1459999	0.5
1	1460000	1469999	0.1
1	1470000	1479999	1.1
1	1480000	1489999	0.3
1	1490000	1499999	0.3
1	1500000	1509999	0.0
1	1510000	1519999	0.2
1	1520000	1529999	0.0
1	1530000	1539999	0.0
1	1540000	1549999	0.0
1	1550000	1559999	0.0
1	1560000	1569999	0.0
1	1570000	1579999	0.2
1	1580000	1589999	0.1
1	1590000	1599999	0.0
1	1600000	1609999	0.3
1	1610000	1619999	0.3
1	1620000	1629999	0.6
1	1630000	1639999	0.3
1	1640000	1649999	0.3
1	1650000	1659999	0.1
1	1660000	1669999	0.1
1	1670000	1679999	0.1
1	1680000	1689999	0.1
1	1690000	1699999	0.1
1	1700000	1709999	0.4
1	1710000	1719999	0.2
1	1720000	1729999	0.5
1	1730000	1739999	0.3
1	1740000	1749999	0.9
1	1750000	1759999	0.3
1	1760000	1769999	0.2
1	1770000	1779999	0.3
1	1780000	1789999	0.1
1	1790000	1799999	0.2
1	1800000	1809999	0.0
1	1810000	1819999	0.2
1	1820000	1829999	0.3
1	1830000	1839999	0.2
1	1840000	1849999	0.2
1	1850000	1859999	0.1
1	1860000	1869999	0.0
1	1870000	1879999	0.2
1	1880000	1889999	0.0
1	1890000	1899999	0.0
1	1900000	1909999	0.0
1	1910000	1919999	0.0
1	1920000	1929999	0.1
1	1930000	1939999	0.3
1	1940000	1949999	0.3
1	1950000	1959999	0.0
1	1960000	1969999	0.0
1	1970000	1979999	0.1
1	1980000	1989999	0.0
1	1990000	1999999	0.7
1	2000000	2009999	0.2
1	2010000	2019999	0.1
1	2020000	2029999	0.6
1	2030000	2039999	0.2
1	2040000	2049999	0.2
1	2050000	2059999	0.2
1	2060000	2069999	0.3
1	2070000	2079999	0.3
1	2080000	2089999	0.0
1	2090000	2099999	0.1
1	2100000	2109999	0.5
1	2110000	2119999	0.3
1	2120000	2129999	0.1
1	2130000	2139999	0.3
1	2140000	2149999	0.2
1	2150000	2159999	0.2
1	2160000	2169999	0.0
1	2170000	2179999	0.0
1	2180000	2189999	0.1
1	2190000	2199999	0.2
1	2200000	2209999	0.3
1	2210000	2219999	0.7
1	2220000	2229999	0.4
1	2230000	2239999	0.2
1	2240000	2249999	0.2
1	2250000	2259999	0.3
1	2260000	2269999	0.4
1	2270000	2279999	0.1
1	2280000	2289999	0.3
1	2290000	2299999	0.3
1	2300000	2309999	0.4
1	2310000	2319999	0.1
1	2320000	2329999	0.2
1	2330000	2339999	0.3
1	2340000	2349999	0.5
1	2350000	2359999	0.1
1	2360000	2369999	0.1
1	2370000	2379999	0.0
1	2380000	2389999	0.0
1	2390000	2399999	0.0
1	2400000	2409999	0.0
1	2410000	2419999	0.3
1	2420000	2429999	0.1
1	2430000	2439999	0.0
1	2440000	2449999	0.0
1	2450000	2459999	0.0
1	2460000	2469999	0.3
1	2470000	2479999	0.2
1	2480000	2489999	0.2
1	2490000	2499999	0.0
1	2500000	2509999	0.1
1	2510000	2519999	0.0
1	2520000	2529999	0.0
1	2530000	2539999	0.0
1	2540000	2549999	0.1
1	2550000	2559999	0.1
1	2560000	2569999	0.2
1	2570000	2579999	0.0
1	2580000	2589999	0.0
1	2590000	2599999	0.0
1	2600000	2609999	0.3
1	2610000	2619999	0.3
1	2620000	2629999	0.2
1	2630000	2639999	0.5
1	2640000	2649999	0.0
1	2650000	2659999	0.0
1	2660000	2669999	0.1
1	2670000	2679999	0.3
1	2680000	2689999	0.2
1	2690000	2699999	0.4
1	2700000	2709999	0.3
1	2710000	2719999	0.3
1	2720000	2729999	0.2
1	2730000	2739999	0.5
1	2740000	2749999	0.4
1	2750000	2759999	0.4
1	2760000	2769999	0.3
1	2770000	2779999	0.2
1	2780000	2789999	0.5
1	2790000	2799999	0.5
1	2800000	2809999	0.2
1	2810000	2819999	0.0
1	2820000	2829999	0.0
1	2830000	2839999	0.0
1	2840000	2849999	0.0
1	2850000	2859999	0.0
1	2860000	2869999	0.3
1	2870000	2879999	0.5
1	2880000	2889999	0.1
1	2890000	2899999	0.2
1	2900000	2909999	0.7
1	2910000	2919999	0.7
1	2920000	2929999	0.1
1	2930000	2939999	0.9
1	2940000	2949999	0.2
1	2950000	2959999	0.4
1	2960000	2969999	0.1
1	2970000	2979999	0.1
1	2980000	2989999	0.6
1	2990000	2999999	0.1
1	3000000	3009999	0.1
1	3010000	3019999	0.3
1	3020000	3029999	0.7
1	3030000	3039999	0.2
1	3040000	3049999	0.0
1	3050000	3059999	0.2
1	3060000	3069999	0.4
1	3070000	3079999	0.4
1	3080000	3089999	0.7
1	3090000	3099999	0.7
1	3100000	3109999	0.0
1	3110000	3119999	0.0
1	3120000	3129999	0.0
1	3130000	3139999	0.0
1	3140000	3149999	0.6
1	3150000	3159999	0.5
1	3160000	3169999	0.5
1	3170000	3179999	0.2
1	3180000	3189999	0.1
1	3190000	3199999	0.3
1	3200000	3209999	0.4
1	3210000	3219999	0.1
1	3220000	3229999	0.1
1	3230000	3239999	0.4
1	3240000	3249999	0.1
1	3250000	3259999	0.0
1	3260000	3269999	0.1
1	3270000	3279999	0.3
1	3280000	3289999	0.3
1	3290000	3299999	0.5
1	3300000	3309999	0.8
1	3310000	3319999	0.2
1	3320000	3329999	0.0
1	3330000	3339999	0.7
1	3340000	3349999	0.0
1	3350000	3359999	0.0
1	3360000	3369999	0.2
1	3370000	3379999	0.4
1	3380000	3389999	0.1
