ref	name	length	coverage	uReads	abundance	median	callable	callablePct	confirmed	confirmedPct	snps	snpPct	multi	multiPct	lowmq	lowmqPct	high	highPct	gapCount	gapLength
Esch_coli_H3	NZ_CP010167.1	4630919	47.519	1331869	7.902	48	3863102	83.420	3861892	99.969	1210	0.031	159	0.004	1439048	31.075	84996	1.835	9	120001
Esch_coli_H3	NZ_CP010168.1	48243	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	48243
Esch_coli_NGF1	NZ_CP016007.1	5026105	0.337	4322	0.035	0	24135	0.480	23614	97.841	521	2.160	12	0.050	921728	18.339	624306	12.421	20	585332
Esch_coli_NGF1	NZ_CP016008.1	40158	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	40158
Esch_coli_NGF1	NZ_CP016009.1	8556	0.279	109	0.000	0	500	5.844	436	87.200	64	12.800	0	0.000	0	0.000	287	3.354	0	0
Esch_coli_clone_D_i14	NC_017652.1	5038386	0.336	10341	0.084	0	21522	0.427	21016	97.649	506	2.351	3	0.014	920367	18.267	640948	12.721	14	470300
Esch_coli_f974b26a-5e81-11e8-bf7f-3c4a9275d6c8	NZ_LR536430.1	4975029	1.572	25494	0.148	2	52938	1.064	52054	98.330	884	1.670	16	0.030	2398716	48.215	1718399	34.540	25	496343
Esch_coli_1190	NZ_CP023386.1	4900891	1.963	69465	0.264	2	1515111	30.915	1513886	99.919	1225	0.081	222	0.015	1161951	23.709	699045	14.264	9	165099
Esch_coli_1190	NZ_CP023387.1	86147	0.087	736	0.002	0	1598	1.855	1486	92.991	112	7.009	0	0.000	0	0.000	3678	4.269	1	65289
TOTAL	-	24754434	11.073	1442336	8.436	1	5478906	22.133	5474384	99.917	4522	0.083	412	0.008	6841810	27.639	3771659	15.236	80	1990765
