ref	name	length	coverage	uReads	abundance	median	callable	callablePct	confirmed	confirmedPct	snps	snpPct	multi	multiPct	lowmq	lowmqPct	high	highPct	gapCount	gapLength
Esch_coli_H3	NZ_CP010167.1	4630919	0.045	232	0.001	0	2738	0.059	2704	98.758	34	1.242	0	0.000	31255	0.675	121	0.003	1	144878
Esch_coli_H3	NZ_CP010168.1	48243	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	48243
Esch_coli_NGF1	NZ_CP016007.1	5026105	0.033	170	0.001	0	1986	0.040	1957	98.540	29	1.460	0	0.000	25811	0.514	69	0.001	1	175222
Esch_coli_NGF1	NZ_CP016008.1	40158	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	40158
Esch_coli_NGF1	NZ_CP016009.1	8556	0.148	19	0.000	0	405	4.734	352	86.914	53	13.086	0	0.000	0	0.000	0	0.000	0	0
Esch_coli_clone_D_i14	NC_017652.1	5038386	0.033	138	0.001	0	2368	0.047	2319	97.931	49	2.069	0	0.000	25354	0.503	90	0.002	0	0
Esch_coli_f974b26a-5e81-11e8-bf7f-3c4a9275d6c8	NZ_LR536430.1	4975029	0.039	149	0.001	0	1231	0.025	1217	98.863	14	1.137	0	0.000	29723	0.597	76	0.002	2	331642
Esch_coli_1190	NZ_CP023386.1	4900891	0.274	11545	0.048	0	170105	3.471	170062	99.975	43	0.025	0	0.000	47688	0.973	372	0.008	4	139592
Esch_coli_1190	NZ_CP023387.1	86147	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	86147
TOTAL	-	24754434	0.084	12253	0.053	0	178833	0.722	178611	99.876	222	0.124	0	0.000	159831	0.646	728	0.003	11	965882
