ref	name	length	coverage	uReads	abundance	median	callable	callablePct	confirmed	confirmedPct	snps	snpPct	multi	multiPct	lowmq	lowmqPct	high	highPct	gapCount	gapLength
Esch_coli_H3	NZ_CP010167.1	4630919	0.247	18	0.000	0	281	0.006	275	97.865	6	2.135	0	0.000	308810	6.668	21045	0.454	13	447553
Esch_coli_H3	NZ_CP010168.1	48243	0.025	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	263	0.545	0	0.000	0	0
Esch_coli_NGF1	NZ_CP016007.1	5026105	3.549	85824	0.823	3	2506998	49.880	2506921	99.997	77	0.003	70	0.003	1668501	33.197	3681	0.073	1	16868
Esch_coli_NGF1	NZ_CP016008.1	40158	6.942	2458	0.008	7	39096	97.355	39094	99.995	2	0.005	2	0.005	982	2.445	12	0.030	0	0
Esch_coli_NGF1	NZ_CP016009.1	8556	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	8556
Esch_coli_clone_D_i14	NC_017652.1	5038386	1.341	210	0.002	0	5022	0.100	5018	99.920	4	0.080	0	0.000	1792289	35.573	196601	3.902	30	575694
Esch_coli_f974b26a-5e81-11e8-bf7f-3c4a9275d6c8	NZ_LR536430.1	4975029	0.224	49	0.000	0	548	0.011	548	100.000	0	0.000	0	0.000	298901	6.008	18373	0.369	16	767577
Esch_coli_1190	NZ_CP023386.1	4900891	0.260	24	0.000	0	351	0.007	334	95.157	17	4.843	0	0.000	342936	6.997	24117	0.492	25	848801
Esch_coli_1190	NZ_CP023387.1	86147	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	86147
TOTAL	-	24754434	1.148	88583	0.834	0	2552296	10.310	2552190	99.996	106	0.004	72	0.003	4412682	17.826	263829	1.066	87	2751196
