ref	name	length	coverage	uReads	abundance	median	callable	callablePct	confirmed	confirmedPct	snps	snpPct	multi	multiPct	lowmq	lowmqPct	high	highPct	gapCount	gapLength
Esch_coli_H3	NZ_CP010167.1	4630919	0.007	37	0.000	0	249	0.005	245	98.394	4	1.606	0	0.000	4237	0.091	0	0.000	2	1824091
Esch_coli_H3	NZ_CP010168.1	48243	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	48243
Esch_coli_NGF1	NZ_CP016007.1	5026105	0.006	27	0.000	0	42	0.001	39	92.857	3	7.143	0	0.000	3948	0.079	71	0.001	1	871423
Esch_coli_NGF1	NZ_CP016008.1	40158	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	40158
Esch_coli_NGF1	NZ_CP016009.1	8556	0.000	2	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	8556
Esch_coli_clone_D_i14	NC_017652.1	5038386	0.006	17	0.000	0	107	0.002	100	93.458	7	6.542	0	0.000	3107	0.062	0	0.000	1	1159973
Esch_coli_f974b26a-5e81-11e8-bf7f-3c4a9275d6c8	NZ_LR536430.1	4975029	0.009	134	0.002	0	949	0.019	940	99.052	9	0.948	0	0.000	4859	0.098	0	0.000	1	572384
Esch_coli_1190	NZ_CP023386.1	4900891	0.024	887	0.007	0	5131	0.105	5092	99.240	39	0.760	0	0.000	5662	0.116	0	0.000	0	0
Esch_coli_1190	NZ_CP023387.1	86147	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	86147
TOTAL	-	24754434	0.010	1104	0.009	0	6478	0.026	6416	99.043	62	0.957	0	0.000	21813	0.088	71	0.000	9	4610975
