sample1	sample2	ref	scaffold	length	common	commonPct	single	singlePct	singleAgree	singleAgreePct	sharedAlleles	sharedAllelesPct	variants	variantPct	commonVariant	commonVariantPct	variantExact	variantExactPct	AnotB	AnotBpct	AnotBweak	AnotBweakPct	BnotA	BnotApct	BnotAweak	BnotAweakPct	Agaps	AsharedGaps	AgapPct	Bgaps	BsharedGaps	BgapPct	gapJaccardSim
UMB11_03	UMB11_03.1	Esch_coli_1190	NZ_CP023386.1	4900891	126732	2.5859	126732	100.0000	126725	99.9945	126725	99.9945	28	0.0221	21	75.0000	21	75.0000	2	7.1429	2	7.1429	5	17.8571	5	17.8571	185085	163905	88.5566	172806	172806	100.0000	0.9919
UMB11_03	UMB11_04.1	Esch_coli_1190	NZ_CP023386.1	4900891	37558	0.7664	37558	100.0000	37556	99.9947	37556	99.9947	6	0.0160	4	66.6667	4	66.6667	0	0.0000	0	0.0000	2	33.3333	2	33.3333	185085	133176	71.9540	139592	139592	100.0000	0.9986
UMB11_03	UMB11_06	Esch_coli_1190	NZ_CP023386.1	4900891	336010	6.8561	335954	99.9833	335809	99.9568	335865	99.9568	279	0.0830	134	48.0287	78	27.9570	23	8.2437	17	6.0932	174	62.3656	160	57.3477	185085	163905	88.5566	165099	158136	95.7825	0.9895
UMB11_03	UMB11_07	Esch_coli_1190	NZ_CP023386.1	4900891	405110	8.2660	405067	99.9894	405023	99.9891	405066	99.9891	200	0.0494	156	78.0000	113	56.5000	12	6.0000	12	6.0000	72	36.0000	65	32.5000	185085	175075	94.5917	171056	154895	90.5522	0.9872
UMB11_03	UMB11_08	Esch_coli_1190	NZ_CP023386.1	4900891	117635	2.4003	117635	100.0000	117629	99.9949	117629	99.9949	52	0.0442	46	88.4615	46	88.4615	3	5.7692	3	5.7692	3	5.7692	2	3.8462	185085	145541	78.6347	158445	146928	92.7312	0.9971
UMB11_03	UMB11_11	Esch_coli_1190	NZ_CP023386.1	4900891	611275	12.4727	611224	99.9917	611203	99.9966	611254	99.9966	242	0.0396	221	91.3223	174	71.9008	16	6.6116	13	5.3719	34	14.0496	29	11.9835	185085	185085	100.0000	165998	165998	100.0000	0.9889
UMB11_03.1	UMB11_04.1	Esch_coli_1190	NZ_CP023386.1	4900891	27693	0.5651	27693	100.0000	27692	99.9964	27692	99.9964	5	0.0181	4	80.0000	4	80.0000	0	0.0000	0	0.0000	1	20.0000	1	20.0000	172806	135738	78.5494	139592	139592	100.0000	0.9987
UMB11_03.1	UMB11_06	Esch_coli_1190	NZ_CP023386.1	4900891	215863	4.4046	215823	99.9815	215758	99.9699	215798	99.9699	133	0.0616	68	51.1278	28	21.0526	8	6.0150	6	4.5113	95	71.4286	95	71.4286	172806	172806	100.0000	165099	158136	95.7825	0.9922
UMB11_03.1	UMB11_07	Esch_coli_1190	NZ_CP023386.1	4900891	252557	5.1533	252524	99.9869	252490	99.9865	252523	99.9865	130	0.0515	96	73.8462	63	48.4615	7	5.3846	6	4.6154	56	43.0769	56	43.0769	172806	172806	100.0000	171056	148033	86.5407	0.9879
UMB11_03.1	UMB11_08	Esch_coli_1190	NZ_CP023386.1	4900891	75899	1.5487	75897	99.9974	75894	99.9960	75896	99.9960	20	0.0264	17	85.0000	15	75.0000	1	5.0000	1	5.0000	2	10.0000	2	10.0000	172806	148091	85.6978	158445	146928	92.7312	0.9916
