ref	name	length	coverage	uReads	abundance	median	callable	callablePct	confirmed	confirmedPct	snps	snpPct	multi	multiPct	lowmq	lowmqPct	high	highPct	gapCount	gapLength
Esch_coli_H3	NZ_CP010167.1	4630919	0.047	556	0.005	0	4860	0.105	4772	98.189	88	1.811	0	0.000	36150	0.781	1006	0.022	0	0
Esch_coli_H3	NZ_CP010168.1	48243	0.025	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	412	0.854	0	0.000	0	0
Esch_coli_NGF1	NZ_CP016007.1	5026105	0.027	162	0.002	0	765	0.015	733	95.817	32	4.183	0	0.000	27145	0.540	798	0.016	1	186970
Esch_coli_NGF1	NZ_CP016008.1	40158	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	40158
Esch_coli_NGF1	NZ_CP016009.1	8556	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	8556
Esch_coli_clone_D_i14	NC_017652.1	5038386	0.028	172	0.002	0	1322	0.026	1265	95.688	57	4.312	0	0.000	28390	0.563	1017	0.020	1	225638
Esch_coli_f974b26a-5e81-11e8-bf7f-3c4a9275d6c8	NZ_LR536430.1	4975029	0.049	666	0.006	0	5842	0.117	5706	97.672	136	2.328	0	0.000	41715	0.838	948	0.019	1	111264
Esch_coli_1190	NZ_CP023386.1	4900891	0.032	473	0.003	0	3244	0.066	3156	97.287	88	2.713	0	0.000	25958	0.530	892	0.018	0	0
Esch_coli_1190	NZ_CP023387.1	86147	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	86147
TOTAL	-	24754434	0.036	2029	0.018	0	16033	0.065	15632	97.499	401	2.501	0	0.000	159770	0.645	4661	0.019	6	658733
