ref	name	length	coverage	uReads	abundance	median	callable	callablePct	confirmed	confirmedPct	snps	snpPct	multi	multiPct	lowmq	lowmqPct	high	highPct	gapCount	gapLength
Esch_coli_H3	NZ_CP010167.1	4630919	0.536	6324	0.058	0	148439	3.205	147535	99.391	904	0.609	2	0.001	469206	10.132	10992	0.237	14	297002
Esch_coli_H3	NZ_CP010168.1	48243	0.106	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	1608	3.333	0	0.000	0	0
Esch_coli_NGF1	NZ_CP016007.1	5026105	0.205	1086	0.014	0	25932	0.516	25627	98.824	305	1.176	5	0.019	232119	4.618	7070	0.141	16	679197
Esch_coli_NGF1	NZ_CP016008.1	40158	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	40158
Esch_coli_NGF1	NZ_CP016009.1	8556	0.160	26	0.000	0	286	3.343	254	88.811	32	11.189	0	0.000	0	0.000	0	0.000	0	0
Esch_coli_clone_D_i14	NC_017652.1	5038386	0.203	1067	0.013	0	24242	0.481	23806	98.201	436	1.800	18	0.074	231279	4.590	7467	0.148	20	819011
Esch_coli_f974b26a-5e81-11e8-bf7f-3c4a9275d6c8	NZ_LR536430.1	4975029	0.700	14686	0.132	0	378975	7.618	377743	99.675	1232	0.325	48	0.013	495996	9.970	17165	0.345	17	347002
Esch_coli_1190	NZ_CP023386.1	4900891	1.591	59112	0.347	1	1894740	38.661	1893628	99.941	1111	0.059	183	0.010	323110	6.593	3384	0.069	12	171056
Esch_coli_1190	NZ_CP023387.1	86147	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	86147
TOTAL	-	24754434	0.639	82301	0.564	0	2472614	9.989	2468593	99.837	4020	0.163	256	0.010	1753318	7.083	46078	0.186	81	2439573
