sample	name	length	coverage	uReads	abundance	median	callable	callablePct	confirmed	confirmedPct	snps	snpPct	multi	multiPct	lowmq	lowmqPct	high	highPct	gapCount	gapLength
3.0	NZ_CP010167.1	4630919	0.010	12	0.000	0	96	0.002	96	100.000	0	0.000	0	0.000	6487	0.140	0	0.000	1	516593
3.0	NZ_CP016007.1	5026105	0.071	1769	0.019	0	12650	0.252	12645	99.960	5	0.040	0	0.000	30732	0.611	0	0.000	0	0
3.0	NC_017652.1	5038386	0.036	12	0.000	0	77	0.002	75	97.403	2	2.597	0	0.000	28949	0.575	0	0.000	0	0
3.0	NZ_LR536430.1	4975029	0.009	9	0.000	0	98	0.002	98	100.000	0	0.000	0	0.000	7007	0.141	0	0.000	1	608606
3.0	NZ_CP023386.1	4900891	0.010	29	0.000	0	332	0.007	324	97.590	8	2.410	0	0.000	6673	0.136	0	0.000	0	0
9.0	NZ_CP010167.1	4630919	0.097	552	0.004	0	9574	0.207	9432	98.517	142	1.483	0	0.000	82224	1.776	0	0.000	2	227784
9.0	NZ_CP016007.1	5026105	0.077	421	0.004	0	6749	0.134	6620	98.089	129	1.911	0	0.000	68951	1.372	30	0.001	3	437547
9.0	NC_017652.1	5038386	0.075	295	0.003	0	3710	0.074	3636	98.005	74	1.995	0	0.000	70702	1.403	82	0.002	3	370459
9.0	NZ_LR536430.1	4975029	0.090	513	0.004	0	8202	0.165	8061	98.281	141	1.719	0	0.000	83892	1.686	105	0.002	5	376210
9.0	NZ_CP023386.1	4900891	0.580	24145	0.118	0	505713	10.319	505494	99.957	219	0.043	4	0.001	115822	2.363	64	0.001	6	158445
13.0	NZ_CP010167.1	4630919	0.047	556	0.005	0	4860	0.105	4772	98.189	88	1.811	0	0.000	36150	0.781	1006	0.022	0	0
13.0	NZ_CP016007.1	5026105	0.027	162	0.002	0	765	0.015	733	95.817	32	4.183	0	0.000	27145	0.540	798	0.016	1	186970
13.0	NC_017652.1	5038386	0.028	172	0.002	0	1322	0.026	1265	95.688	57	4.312	0	0.000	28390	0.563	1017	0.020	1	225638
