ref	name	length	coverage	uReads	abundance	median	callable	callablePct	confirmed	confirmedPct	snps	snpPct	multi	multiPct	lowmq	lowmqPct	high	highPct	gapCount	gapLength
Esch_coli_H3	NZ_CP010167.1	4630919	0.086	437	0.008	0	8026	0.173	7920	98.679	106	1.321	0	0.000	68970	1.489	9	0.000	3	238519
Esch_coli_H3	NZ_CP010168.1	48243	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	48243
Esch_coli_NGF1	NZ_CP016007.1	5026105	0.066	356	0.009	0	6495	0.129	6396	98.476	99	1.524	0	0.000	56187	1.118	21	0.000	5	595621
Esch_coli_NGF1	NZ_CP016008.1	40158	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	40158
Esch_coli_NGF1	NZ_CP016009.1	8556	0.275	45	0.000	0	638	7.457	566	88.715	72	11.285	0	0.000	0	0.000	0	0.000	0	0
Esch_coli_clone_D_i14	NC_017652.1	5038386	0.065	283	0.007	0	4539	0.090	4478	98.656	61	1.344	0	0.000	56964	1.131	21	0.000	5	620059
Esch_coli_f974b26a-5e81-11e8-bf7f-3c4a9275d6c8	NZ_LR536430.1	4975029	0.080	386	0.007	0	6924	0.139	6838	98.758	86	1.242	0	0.000	71065	1.428	9	0.000	5	469483
Esch_coli_1190	NZ_CP023386.1	4900891	0.596	24708	0.278	0	547015	11.162	546816	99.964	199	0.036	3	0.001	99001	2.020	114	0.002	7	172806
Esch_coli_1190	NZ_CP023387.1	86147	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	86147
TOTAL	-	24754434	0.177	26215	0.308	0	573637	2.317	573014	99.891	623	0.109	3	0.001	352187	1.423	174	0.001	28	2271036
