sample	start	end
1	194698	218785
1	844809	868724
1	989471	1032324
1	1236959	1271394
1	1512649	1568433
1	1878679	1919741
1	1944426	1972711
1	2074808	2101283
1	2156984	2180899
1	2361191	2398185
1	2420841	2463959
1	2509579	2545239
1	2565463	2608511
1	2639293	2662579
1	2811577	2842590
1	3101692	3140334
1	3339567	3362941
1	3532187	3564425
1	3716087	3749227
1	3788207	3815455
1	3824272	3870358
1	3870637	3909184
1	4251567	4283152
1	4290801	4316919

3	882216	892226
3	904275	915445
3	1236836	1269814
3	1528842	1568020
3	3101790	3139786
3	3799005	3811370
3	4196812	4206158
3	4253689	4276713
3.5	1236584	1270340
3.5	1528635	1567971
3.5	3101677	3140697
3.5	3798954	3811307
3.5	4196097	4208752
3.5	4253140	4276766

4.5	1236668	1271945
4.5	1528901	1567970
4.5	3101898	3140049
4.5	4252678	4276864

6	1260218	1269702
6	1529053	1568005
6	3101898	3139703
6	3798928	3811295
6	4199029	4206025
6	4218472	4224601
6	4253781	4276453
7	860125	868647
7	1236987	1246030
7	1247060	1269549
7	1547181	1566665
7	1909345	1917057
7	2399014	2407463
7	3101740	3139752
7	3799034	3811678
7	4198428	4206820
7	4253597	4276559
8	1236903	1269538
8	1528685	1568029
8	3100732	3140012
8	3798914	3811452
8	4219216	4230316
8	4256428	4276522
11	884595	890070
11	908605	914218
11	1236866	1269560
11	1529041	1567970
11	3101860	3139724
11	3804229	3811283
11	4197565	4206043
11	4253321	4276696

