ref	name	length	coverage	uReads	abundance	median	callable	callablePct	confirmed	confirmedPct	snps	snpPct	multi	multiPct	lowmq	lowmqPct	high	highPct	gapCount	gapLength
Esch_coli_H3	NZ_CP010167.1	4630919	0.372	2697	0.018	0	51415	1.110	50869	98.938	546	1.062	5	0.010	367548	7.937	9046	0.195	11	250918
Esch_coli_H3	NZ_CP010168.1	48243	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	48243
Esch_coli_NGF1	NZ_CP016007.1	5026105	0.273	1688	0.015	0	38141	0.759	37590	98.555	551	1.445	12	0.031	309322	6.154	7663	0.152	21	804095
Esch_coli_NGF1	NZ_CP016008.1	40158	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	40158
Esch_coli_NGF1	NZ_CP016009.1	8556	0.256	66	0.000	0	662	7.737	591	89.275	71	10.725	0	0.000	0	0.000	0	0.000	0	0
Esch_coli_clone_D_i14	NC_017652.1	5038386	0.269	1291	0.012	0	31132	0.618	30647	98.442	485	1.558	9	0.029	310044	6.154	6564	0.130	21	811748
Esch_coli_f974b26a-5e81-11e8-bf7f-3c4a9275d6c8	NZ_LR536430.1	4975029	0.331	1808	0.012	0	40409	0.812	39891	98.718	518	1.282	1	0.002	369390	7.425	10442	0.210	25	742039
Esch_coli_1190	NZ_CP023386.1	4900891	2.492	106232	0.449	2	2819899	57.538	2818902	99.965	996	0.035	114	0.004	435239	8.881	488	0.010	9	165998
Esch_coli_1190	NZ_CP023387.1	86147	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	86147
TOTAL	-	24754434	0.740	113782	0.506	0	2981658	12.045	2978490	99.894	3167	0.106	141	0.005	1791543	7.237	34203	0.138	90	2949346
