sample	name	length	coverage	uReads	abundance	median	callable	callablePct	confirmed	confirmedPct	snps	snpPct	multi	multiPct	lowmq	lowmqPct	high	highPct	gapCount	gapLength
UMB11_01	NZ_CP010167.1	4630919	0.248	18	0.000	0	739	0.016	711	96.211	28	3.789	0	0.000	308798	6.668	21112	0.456	105	1647370
UMB11_01	NZ_CP016007.1	5026105	3.564	85824	0.823	3	2518452	50.107	2518342	99.996	110	0.004	159	0.006	1666346	33.154	3723	0.074	2	20533
UMB11_01	NC_017652.1	5038386	1.342	210	0.002	0	6228	0.124	6136	98.523	92	1.479	8	0.128	1792104	35.569	197008	3.910	143	992380
UMB11_01	NZ_LR536430.1	4975029	0.226	49	0.000	0	1896	0.038	1799	94.884	95	5.045	13	0.686	298901	6.008	18566	0.373	112	2020442
UMB11_01	NZ_CP023386.1	4900891	0.261	24	0.000	0	1542	0.031	1432	92.866	110	7.161	6	0.389	342936	6.997	24315	0.496	110	1851281
UMB11_02	NZ_CP010167.1	4630919	0.010	12	0.000	0	144	0.003	142	98.611	2	1.389	0	0.000	6487	0.140	0	0.000	5	1341695
UMB11_02	NZ_CP016007.1	5026105	0.073	1769	0.019	0	14011	0.279	13971	99.715	40	0.286	5	0.036	30732	0.611	66	0.001	7	217757
UMB11_02	NC_017652.1	5038386	0.036	12	0.000	0	272	0.005	253	93.015	19	6.985	0	0.000	28949	0.575	0	0.000	17	1313613
UMB11_02	NZ_LR536430.1	4975029	0.009	9	0.000	0	733	0.015	690	94.134	43	5.874	1	0.136	7007	0.141	0	0.000	2	599012
UMB11_02	NZ_CP023386.1	4900891	0.010	29	0.000	0	746	0.015	702	94.102	44	5.962	8	1.072	6673	0.136	0	0.000	3	1002126
UMB11_03.1	NZ_CP010167.1	4630919	0.088	437	0.008	0	9909	0.214	9768	98.577	141	1.423	0	0.000	68967	1.489	9	0.000	44	1655338
UMB11_03.1	NZ_CP016007.1	5026105	0.068	356	0.009	0	8219	0.164	8061	98.078	158	1.922	0	0.000	56187	1.118	21	0.000	42	2112735
UMB11_03.1	NC_017652.1	5038386	0.066	283	0.007	0	5845	0.116	5758	98.512	87	1.490	5	0.086	56964	1.131	49	0.001	32	1698128
UMB11_03.1	NZ_LR536430.1	4975029	0.082	386	0.007	0	8446	0.170	8334	98.674	112	1.326	0	0.000	71065	1.428	9	0.000	47	1884217
UMB11_03.1	NZ_CP023386.1	4900891	0.624	24708	0.278	0	587195	11.981	586939	99.956	256	0.044	4	0.001	98699	2.014	166	0.003	18	233802
UMB11_03	NZ_CP010167.1	4630919	0.123	572	0.004	0	12819	0.277	12638	98.588	181	1.412	0	0.000	111645	2.411	74	0.002	56	1673216
UMB11_03	NZ_CP016007.1	5026105	0.095	507	0.004	0	13510	0.269	13272	98.238	238	1.762	0	0.000	91085	1.812	383	0.008	47	1952695
