ref	name	length	coverage	uReads	abundance	median	callable	callablePct	confirmed	confirmedPct	snps	snpPct	multi	multiPct	lowmq	lowmqPct	high	highPct	gapCount	gapLength
Ente_gilvus_CR1	NZ_CP030932.1	2863043	0.011	13	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	9517	0.332	2363	0.083	2	1474228
Ente_casseliflavus_EGM182	NZ_CP050490.1	3450044	0.008	5	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	8051	0.233	648	0.019	1	1216649
Ente_faecalis_LD33	NZ_CP014949.1	2803429	1.260	3839	0.058	1	104661	3.733	104249	99.606	412	0.394	7	0.007	818029	29.180	300	0.011	8	121442
Ente_faecalis_FDAARGOS_324	NZ_CP028285.1	2928142	1.324	6963	0.086	1	186469	6.368	186174	99.842	295	0.158	17	0.009	803968	27.457	1440	0.049	10	161882
Ente_faecalis_FC	NZ_CP028835.1	2934454	1.407	7680	0.093	1	224041	7.635	223263	99.653	778	0.347	46	0.021	842377	28.706	257	0.009	8	136546
Ente_faecium_DT1-1	NZ_CP050255.1	2684010	0.012	13	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	8334	0.311	633	0.024	2	1466766
Ente_faecalis_L12	NZ_CP018102.1	2668255	1.688	10181	0.151	1	292374	10.957	292000	99.872	374	0.128	36	0.012	839862	31.476	507	0.019	6	58740
Ente_faecalis_SGAir0397	NZ_CP039434.1	2696714	1.085	3031	0.029	1	75832	2.812	75443	99.487	389	0.513	10	0.013	674319	25.005	306	0.011	9	113858
Ente_casseliflavus_FDAARGOS_998	NZ_CP066024.1	3495847	0.008	31	0.000	0	183	0.005	167	91.257	16	8.743	0	0.000	7805	0.223	382	0.011	1	1284757
Ente_faecium_E8691	NZ_LR135435.1	2640062	0.018	8	0.000	0	86	0.003	84	97.674	2	2.326	0	0.000	11935	0.452	64	0.002	3	1519624
Ente_faecium_E0139	NZ_LR132067.1	2458403	0.023	84	0.001	0	2372	0.096	2297	96.838	75	3.162	0	0.000	12503	0.509	50	0.002	4	2016278
TOTAL	-	31622403	0.607	31848	0.418	0	886018	2.802	883677	99.736	2341	0.264	116	0.013	4036700	12.765	6950	0.022	54	9570770
