ref	name	length	coverage	uReads	abundance	median	callable	callablePct	confirmed	confirmedPct	snps	snpPct	multi	multiPct	lowmq	lowmqPct	high	highPct	gapCount	gapLength
Ente_gilvus_CR1	NZ_CP030932.1	2863043	0.014	103	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	14106	0.493	4743	0.166	2	1280847
Ente_casseliflavus_EGM182	NZ_CP050490.1	3450044	0.009	39	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	12962	0.376	5447	0.158	2	1195992
Ente_faecalis_LD33	NZ_CP014949.1	2803429	1.332	768	0.009	1	14445	0.515	14393	99.640	52	0.360	1	0.007	932998	33.281	3958	0.141	8	98994
Ente_faecalis_FDAARGOS_324	NZ_CP028285.1	2928142	1.972	15775	0.149	1	474087	16.191	474001	99.982	86	0.018	36	0.008	932136	31.834	5555	0.190	6	120517
Ente_faecalis_FC	NZ_CP028835.1	2934454	1.248	3341	0.031	0	69093	2.355	68930	99.764	163	0.236	30	0.043	891580	30.383	35306	1.203	13	226463
Ente_faecium_DT1-1	NZ_CP050255.1	2684010	0.017	93	0.000	0	134	0.005	117	87.313	17	12.687	0	0.000	10805	0.403	1088	0.041	4	1599360
Ente_faecalis_L12	NZ_CP018102.1	2668255	2.732	25713	0.293	3	822104	30.811	822022	99.990	82	0.010	10	0.001	915760	34.321	907	0.034	8	94018
Ente_faecalis_SGAir0397	NZ_CP039434.1	2696714	0.971	512	0.004	0	8362	0.310	8328	99.593	34	0.407	1	0.012	681757	25.281	14534	0.539	7	130931
Ente_casseliflavus_FDAARGOS_998	NZ_CP066024.1	3495847	0.012	56	0.000	0	281	0.008	260	92.527	21	7.473	0	0.000	14673	0.420	5709	0.163	2	1622981
Ente_faecium_E8691	NZ_LR135435.1	2640062	0.038	30	0.000	0	716	0.027	683	95.391	33	4.609	0	0.000	25341	0.960	2161	0.082	7	2033899
Ente_faecium_E0139	NZ_LR132067.1	2458403	0.040	8	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	25426	1.034	1651	0.067	7	1880236
TOTAL	-	31622403	0.741	46438	0.487	0	1389222	4.393	1388734	99.965	488	0.035	78	0.006	4457544	14.096	81059	0.256	66	10284238
