sample1	sample2	ref	scaffold	length	common	commonPct	single	singlePct	singleAgree	singleAgreePct	multi	multiPct	sharedAlleles	sharedAllelesPct	variants	variantPct	commonVariant	commonVariantPct	variantExact	variantExactPct	AnotB	AnotBpct	BnotA	BnotApct	Agaps	AgapPct	Bgaps	BgapPct	gapJaccardSim
ERR3405458	ERR3405461	Ente_casseliflavus_EGM182	NZ_CP050490.1	3450044	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1216649	0.0000	0	0.0000	1.0000
ERR3405458	ERR3405461	Ente_casseliflavus_FDAARGOS_998	NZ_CP066024.1	3495847	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1284757	0.0000	0	0.0000	1.0000
ERR3405458	ERR3405461	Ente_faecalis_FC	NZ_CP028835.1	2934454	841	0.0287	841	100.0000	828	98.4542	0	0.0000	828	98.4542	14	1.6647	1	7.1429	1	7.1429	2	14.2857	11	78.5714	136546	0.0000	0	0.0000	0.9833
ERR3405458	ERR3405461	Ente_faecalis_FDAARGOS_324	NZ_CP028285.1	2928142	602	0.0206	601	99.8339	598	99.5008	1	0.1661	599	99.5017	4	0.6645	1	25.0000	0	0.0000	1	25.0000	3	75.0000	161882	26.8949	100439	48.5270	0.9755
ERR3405458	ERR3405461	Ente_faecalis_L12	NZ_CP018102.1	2668255	1028	0.0385	1028	100.0000	1027	99.9027	0	0.0000	1027	99.9027	2	0.1946	1	50.0000	1	50.0000	0	0.0000	1	50.0000	58740	0.0000	46831	0.0000	0.9824
ERR3405458	ERR3405461	Ente_faecalis_LD33	NZ_CP014949.1	2803429	126	0.0045	126	100.0000	126	100.0000	0	0.0000	126	100.0000	1	0.7937	1	100.0000	1	100.0000	0	0.0000	0	0.0000	121442	20.6798	98610	46.4922	0.9648
ERR3405458	ERR3405461	Ente_faecalis_SGAir0397	NZ_CP039434.1	2696714	773	0.0287	773	100.0000	767	99.2238	0	0.0000	767	99.2238	6	0.7762	0	0.0000	0	0.0000	6	100.0000	0	0.0000	113858	46.2111	91274	100.0000	0.9790
ERR3405458	ERR3405461	Ente_faecium_DT1-1	NZ_CP050255.1	2684010	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1466766	0.0000	0	0.0000	0.4535
ERR3405458	ERR3405461	Ente_faecium_E0139	NZ_LR132067.1	2458403	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	2016278	0.0000	0	0.0000	0.1798
ERR3405458	ERR3405461	Ente_faecium_E8691	NZ_LR135435.1	2640062	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1519624	0.0000	69607	0.0000	0.4244
ERR3405458	ERR3405461	Ente_gilvus_CR1	NZ_CP030932.1	2863043	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1474228	0.0000	0	0.0000	1.0000
