sample1	sample2	ref	scaffold	length	common	commonPct	single	singlePct	singleAgree	singleAgreePct	multi	multiPct	sharedAlleles	sharedAllelesPct	variants	variantPct	commonVariant	commonVariantPct	variantExact	variantExactPct	AnotB	AnotBpct	BnotA	BnotApct	Agaps	AgapPct	Bgaps	BgapPct	gapJaccardSim
ERR3405458	ERR3405459	Ente_casseliflavus_EGM182	NZ_CP050490.1	3450044	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1216649	100.0000	1113432	100.0000	0.9557
ERR3405458	ERR3405459	Ente_casseliflavus_FDAARGOS_998	NZ_CP066024.1	3495847	3	0.0001	3	100.0000	3	100.0000	0	0.0000	3	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1284757	100.0000	1404251	62.1593	0.8429
ERR3405458	ERR3405459	Ente_faecalis_FC	NZ_CP028835.1	2934454	21146	0.7206	21114	99.8487	21061	99.7490	32	0.1513	21093	99.7494	110	0.5202	57	51.8182	25	22.7273	44	40.0000	27	24.5455	136546	89.2717	145796	92.8242	0.9884
ERR3405458	ERR3405459	Ente_faecalis_FDAARGOS_324	NZ_CP028285.1	2928142	48416	1.6535	48403	99.9731	48363	99.9174	13	0.0269	48376	99.9174	66	0.1363	26	39.3939	13	19.6970	48	72.7273	3	4.5455	161882	77.8431	135167	91.7339	0.9842
ERR3405458	ERR3405459	Ente_faecalis_L12	NZ_CP018102.1	2668255	91056	3.4126	91040	99.9824	90949	99.9000	16	0.0176	90965	99.9001	110	0.1208	19	17.2727	3	2.7273	103	93.6364	2	1.8182	58740	88.3759	136462	41.7501	0.9666
ERR3405458	ERR3405459	Ente_faecalis_LD33	NZ_CP014949.1	2803429	2868	0.1023	2867	99.9651	2865	99.9302	1	0.0349	2866	99.9303	7	0.2441	5	71.4286	4	57.1429	2	28.5714	1	14.2857	121442	67.5903	115569	72.3611	0.9786
ERR3405458	ERR3405459	Ente_faecalis_SGAir0397	NZ_CP039434.1	2696714	2767	0.1026	2767	100.0000	2765	99.9277	0	0.0000	2765	99.9277	5	0.1807	3	60.0000	3	60.0000	0	0.0000	2	40.0000	113858	57.3829	101493	68.4776	0.9863
ERR3405458	ERR3405459	Ente_faecium_DT1-1	NZ_CP050255.1	2684010	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1466766	67.4339	642416	100.0000	0.8302
ERR3405458	ERR3405459	Ente_faecium_E0139	NZ_LR132067.1	2458403	33	0.0013	33	100.0000	33	100.0000	0	0.0000	33	100.0000	1	3.0303	1	100.0000	1	100.0000	0	0.0000	0	0.0000	2016278	85.8457	1423985	100.0000	0.2709
ERR3405458	ERR3405459	Ente_faecium_E8691	NZ_LR135435.1	2640062	86	0.0033	86	100.0000	86	100.0000	0	0.0000	86	100.0000	2	2.3256	2	100.0000	2	100.0000	0	0.0000	0	0.0000	1519624	100.0000	1865619	72.0796	0.8645
ERR3405458	ERR3405459	Ente_gilvus_CR1	NZ_CP030932.1	2863043	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1474228	100.0000	2164422	59.1264	0.8762
