sample1	sample2	ref	scaffold	length	common	commonPct	single	singlePct	singleAgree	singleAgreePct	multi	multiPct	sharedAlleles	sharedAllelesPct	variants	variantPct	commonVariant	commonVariantPct	variantExact	variantExactPct	AnotB	AnotBpct	BnotA	BnotApct	Agaps	AgapPct	Bgaps	BgapPct	gapJaccardSim
ERR3405460	ERR3405461	Ente_casseliflavus_EGM182	NZ_CP050490.1	3450044	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1195992	0.0000	0	0.0000	1.0000
ERR3405460	ERR3405461	Ente_casseliflavus_FDAARGOS_998	NZ_CP066024.1	3495847	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1622981	0.0000	0	0.0000	1.0000
ERR3405460	ERR3405461	Ente_faecalis_FC	NZ_CP028835.1	2934454	522	0.0178	522	100.0000	519	99.4253	0	0.0000	519	99.4253	3	0.5747	0	0.0000	0	0.0000	0	0.0000	3	100.0000	226463	0.0000	0	0.0000	0.9833
ERR3405460	ERR3405461	Ente_faecalis_FDAARGOS_324	NZ_CP028285.1	2928142	1404	0.0479	1404	100.0000	1398	99.5726	0	0.0000	1398	99.5726	6	0.4274	0	0.0000	0	0.0000	0	0.0000	6	100.0000	120517	43.2487	100439	48.5270	0.9715
ERR3405460	ERR3405461	Ente_faecalis_L12	NZ_CP018102.1	2668255	2965	0.1111	2965	100.0000	2963	99.9325	0	0.0000	2963	99.9325	2	0.0675	0	0.0000	0	0.0000	0	0.0000	2	100.0000	94018	7.8687	46831	100.0000	0.9688
ERR3405460	ERR3405461	Ente_faecalis_LD33	NZ_CP014949.1	2803429	107	0.0038	107	100.0000	106	99.0654	0	0.0000	106	99.0654	2	1.8692	1	50.0000	1	50.0000	0	0.0000	1	50.0000	98994	24.5338	98610	46.4922	0.9648
ERR3405460	ERR3405461	Ente_faecalis_SGAir0397	NZ_CP039434.1	2696714	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	130931	44.3302	91274	100.0000	0.9675
ERR3405460	ERR3405461	Ente_faecium_DT1-1	NZ_CP050255.1	2684010	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1599360	0.0000	0	0.0000	0.4041
ERR3405460	ERR3405461	Ente_faecium_E0139	NZ_LR132067.1	2458403	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1880236	0.0000	0	0.0000	0.2352
ERR3405460	ERR3405461	Ente_faecium_E8691	NZ_LR135435.1	2640062	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	2033899	13.5333	69607	100.0000	0.2296
ERR3405460	ERR3405461	Ente_gilvus_CR1	NZ_CP030932.1	2863043	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1280847	0.0000	0	0.0000	1.0000
