sample	ref	name	length	coverage	uReads	abundance	median	callable	callablePct	confirmed	confirmedPct	snps	snpPct	multi	multiPct	lowmq	lowmqPct	high	highPct	gapCount	gapLength
LS_12_28_2011	Esch_coli_EC-1639	NZ_LR025101.1	5059899	0.304	8943	0.036	0	2480	0.049	2411	97.218	69	2.783	1	0.040	579884	11.460	288491	5.702	24	682571
LS_12_28_2011	Esch_coli_118UI	NZ_CP032515.1	5205677	0.302	8018	0.033	0	2589	0.050	2534	97.876	55	2.124	0	0.000	593249	11.396	293825	5.644	22	633308
LS_12_28_2011	Esch_coli_D5	NZ_CP010145.1	4817460	0.256	312	0.002	0	948	0.020	941	99.262	7	0.738	0	0.000	415866	8.632	148020	3.073	18	633665
LS_12_28_2011	Esch_coli_2011C-3911	NZ_CP015240.1	4863599	0.242	2667	0.018	0	1896	0.039	1789	94.357	107	5.643	0	0.000	378151	7.775	128650	2.645	23	692448
LS_12_28_2011	Esch_coli_PA45B	NZ_CP021288.1	5074754	84.659	2825641	8.664	86	4499447	88.663	4499039	99.991	407	0.009	130	0.003	1002794	19.760	106953	2.108	3	62573
LS_12_28_2011	Esch_coli_MSHS_133	NZ_CP041304.1	4946083	0.495	5472	0.015	0	3872	0.078	3831	98.941	41	1.059	0	0.000	1268739	25.651	841336	17.010	26	543396
LS_12_28_2011	Esch_coli_NCTC122	NZ_LT906474.1	4625968	0.248	547	0.004	0	886	0.019	879	99.210	7	0.790	0	0.000	382078	8.259	133299	2.882	21	707831
LS_12_28_2011	Esch_coli_MVAST0167	NZ_CP014492.1	4806946	2.155	8636	0.026	2	12975	0.270	12928	99.638	47	0.362	0	0.000	2487007	51.738	1445135	30.063	39	468766
LS_12_28_2011	Esch_coli_Santai	NZ_CP007592.1	5104557	0.258	524	0.002	0	1599	0.031	1594	99.687	5	0.313	0	0.000	427334	8.372	146625	2.872	24	712738
LS_12_28_2011	Esch_coli_AR_0061	NZ_CP020058.1	4595238	0.254	277	0.002	0	1907	0.041	1880	98.584	27	1.416	0	0.000	378072	8.227	123343	2.684	23	662655
LS_4_3_2012	Esch_coli_EC-1639	NZ_LR025101.1	5059899	1.436	243363	0.745	1	198678	3.927	197100	99.206	1578	0.794	55	0.028	1853568	36.633	1407566	27.818	4	52774
LS_4_3_2012	Esch_coli_118UI	NZ_CP032515.1	5205677	1.253	294761	0.917	1	73492	1.412	71630	97.466	1862	2.534	6	0.008	1934502	37.161	1497929	28.775	18	293430
LS_4_3_2012	Esch_coli_D5	NZ_CP010145.1	4817460	5.506	261502	1.559	9	137222	2.848	134545	98.049	2674	1.949	21	0.015	2708408	56.221	1558640	32.354	34	378337
LS_4_3_2012	Esch_coli_2011C-3911	NZ_CP015240.1	4863599	6.014	361529	1.841	10	180580	3.713	176582	97.786	3991	2.211	95	0.053	2689725	55.303	1605807	33.017	40	433639
LS_4_3_2012	Esch_coli_PA45B	NZ_CP021288.1	5074754	0.587	162578	0.377	0	43314	0.854	42295	97.647	1018	2.350	2	0.005	1239368	24.422	992737	19.562	22	418842
LS_4_3_2012	Esch_coli_MSHS_133	NZ_CP041304.1	4946083	0.690	324697	0.693	0	51419	1.040	50023	97.285	1396	2.715	3	0.006	1468773	29.696	1419147	28.692	20	304081
LS_4_3_2012	Esch_coli_NCTC122	NZ_LT906474.1	4625968	7.628	446668	2.188	13	220166	4.759	216022	98.118	4138	1.880	41	0.019	2595797	56.114	1505322	32.541	32	360624
LS_4_3_2012	Esch_coli_MVAST0167	NZ_CP014492.1	4806946	0.590	102160	0.234	0	44498	0.926	43484	97.721	1014	2.279	1	0.002	1167927	24.297	911400	18.960	18	281292
LS_4_3_2012	Esch_coli_Santai	NZ_CP007592.1	5104557	39.240	3611738	8.038	80	1229361	24.084	1210773	98.488	18558	1.510	435	0.035	1742279	34.132	1904212	37.304	49	461883
LS_4_3_2012	Esch_coli_AR_0061	NZ_CP020058.1	4595238	7.091	398206	1.995	12	191249	4.162	187465	98.021	3783	1.978	39	0.020	2581827	56.185	1525727	33.202	34	337717
LS_8_7_2012	Esch_coli_EC-1639	NZ_LR025101.1	5059899	2.748	68981	0.160	4	124068	2.452	123233	99.327	835	0.673	23	0.019	2636452	52.105	1782461	35.227	16	147725
LS_8_7_2012	Esch_coli_118UI	NZ_CP032515.1	5205677	53.246	1547332	3.650	61	2964923	56.956	2963346	99.947	1577	0.053	90	0.003	1817215	34.908	220395	4.234	30	399664
LS_8_7_2012	Esch_coli_D5	NZ_CP010145.1	4817460	0.447	9370	0.042	0	14299	0.297	14034	98.147	265	1.853	1	0.007	661136	13.724	256663	5.328	28	584913
LS_8_7_2012	Esch_coli_2011C-3911	NZ_CP015240.1	4863599	0.439	14517	0.056	0	17070	0.351	16748	98.114	322	1.887	3	0.018	659663	13.563	280678	5.771	33	633252
LS_8_7_2012	Esch_coli_PA45B	NZ_CP021288.1	5074754	0.488	15219	0.027	0	70438	1.388	69811	99.110	627	0.890	7	0.010	662422	13.053	255968	5.044	33	623809
LS_8_7_2012	Esch_coli_MSHS_133	NZ_CP041304.1	4946083	2.314	76630	0.124	2	1440674	29.128	1439485	99.917	1189	0.083	224	0.016	1165981	23.574	462646	9.354	25	379801
LS_8_7_2012	Esch_coli_NCTC122	NZ_LT906474.1	4625968	0.469	9676	0.036	0	16881	0.365	16596	98.312	285	1.689	3	0.018	632789	13.679	241540	5.221	19	398566
LS_8_7_2012	Esch_coli_MVAST0167	NZ_CP014492.1	4806946	0.444	12919	0.022	0	41683	0.867	41221	98.892	462	1.108	1	0.002	598862	12.458	231682	4.820	25	559432
LS_8_7_2012	Esch_coli_Santai	NZ_CP007592.1	5104557	0.453	19856	0.033	0	25022	0.490	24554	98.130	468	1.870	0	0.000	693304	13.582	317763	6.225	30	681432
LS_8_7_2012	Esch_coli_AR_0061	NZ_CP020058.1	4595238	0.463	8205	0.031	0	20012	0.435	19689	98.386	323	1.614	0	0.000	628344	13.674	238516	5.191	29	525029
LS_11_6_2012	Esch_coli_EC-1639	NZ_LR025101.1	5059899	3.616	136764	0.440	8	46405	0.917	45672	98.420	733	1.580	8	0.017	2770492	54.754	1987891	39.287	33	411837
LS_11_6_2012	Esch_coli_118UI	NZ_CP032515.1	5205677	113.667	3351176	10.941	134	2942794	56.530	2940962	99.938	1832	0.062	78	0.003	1825156	35.061	301981	5.801	26	463211
LS_11_6_2012	Esch_coli_D5	NZ_CP010145.1	4817460	0.452	20204	0.126	0	5039	0.105	4899	97.222	140	2.778	0	0.000	844082	17.521	462623	9.603	20	454803
LS_11_6_2012	Esch_coli_2011C-3911	NZ_CP015240.1	4863599	0.454	30977	0.166	0	8816	0.181	8602	97.573	214	2.427	0	0.000	850599	17.489	485154	9.975	24	511894
LS_11_6_2012	Esch_coli_PA45B	NZ_CP021288.1	5074754	0.350	28560	0.069	0	11989	0.236	11687	97.481	302	2.519	0	0.000	693575	13.667	418774	8.252	23	687694
LS_11_6_2012	Esch_coli_MSHS_133	NZ_CP041304.1	4946083	0.582	68240	0.153	0	22842	0.462	22452	98.293	390	1.707	1	0.004	1286705	26.015	949561	19.198	18	391336
LS_11_6_2012	Esch_coli_NCTC122	NZ_LT906474.1	4625968	0.480	20530	0.106	0	9410	0.203	9255	98.353	155	1.647	0	0.000	812439	17.563	437134	9.450	13	244245
LS_11_6_2012	Esch_coli_MVAST0167	NZ_CP014492.1	4806946	0.364	26200	0.063	0	11395	0.237	11131	97.683	264	2.317	0	0.000	670570	13.950	391804	8.151	16	430142
LS_11_6_2012	Esch_coli_Santai	NZ_CP007592.1	5104557	0.456	41344	0.097	0	12803	0.251	12531	97.875	272	2.125	2	0.016	901778	17.666	538316	10.546	20	519022
LS_11_6_2012	Esch_coli_AR_0061	NZ_CP020058.1	4595238	0.466	17269	0.091	0	7406	0.161	7238	97.732	168	2.268	0	0.000	818283	17.807	445634	9.698	16	286266
