sample1	sample2	ref	scaffold	length	common	commonPct	single	singlePct	singleAgree	singleAgreePct	sharedAlleles	sharedAllelesPct	variants	variantPct	commonVariant	commonVariantPct	variantExact	variantExactPct	AnotB	AnotBpct	AnotBweak	AnotBweakPct	BnotA	BnotApct	BnotAweak	BnotAweakPct	Agaps	AsharedGaps	AgapPct	Bgaps	BsharedGaps	BgapPct	gapJaccardSim
LS_12_28_2011	LS_4_3_2012	Esch_coli_118UI	NZ_CP032515.1	5205677	43	0.0008	43	100.0000	41	95.3488	41	95.3488	2	4.6512	0	0.0000	0	0.0000	1	50.0000	1	50.0000	2	100.0000	2	100.0000	633308	234257	36.9894	293430	163000	55.5499	0.8893
LS_12_28_2011	LS_4_3_2012	Esch_coli_2011C-3911	NZ_CP015240.1	4863599	148	0.0030	141	95.2703	131	92.9078	138	93.2432	19	12.8378	9	47.3684	2	10.5263	5	26.3158	5	26.3158	12	63.1579	12	63.1579	692448	269122	38.8653	433639	134749	31.0740	0.8469
LS_12_28_2011	LS_4_3_2012	Esch_coli_AR_0061	NZ_CP020058.1	4595238	214	0.0047	214	100.0000	212	99.0654	212	99.0654	2	0.9346	0	0.0000	0	0.0000	0	0.0000	0	0.0000	2	100.0000	2	100.0000	662655	290440	43.8297	337717	126780	37.5403	0.8613
LS_12_28_2011	LS_4_3_2012	Esch_coli_D5	NZ_CP010145.1	4817460	13	0.0003	13	100.0000	13	100.0000	13	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	633665	398699	62.9195	378337	217731	57.5495	0.8848
LS_12_28_2011	LS_4_3_2012	Esch_coli_EC-1639	NZ_LR025101.1	5059899	298	0.0059	298	100.0000	293	98.3221	293	98.3221	5	1.6779	0	0.0000	0	0.0000	5	100.0000	5	100.0000	0	0.0000	0	0.0000	682571	69425	10.1711	52774	38200	72.3841	0.8705
LS_12_28_2011	LS_4_3_2012	Esch_coli_MSHS_133	NZ_CP041304.1	4946083	42	0.0008	42	100.0000	42	100.0000	42	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	543396	200174	36.8376	304081	171177	56.2932	0.8764
LS_12_28_2011	LS_4_3_2012	Esch_coli_MVAST0167	NZ_CP014492.1	4806946	255	0.0053	255	100.0000	255	100.0000	255	100.0000	2	0.7843	2	100.0000	2	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	468766	164256	35.0401	281292	171404	60.9345	0.9241
LS_12_28_2011	LS_4_3_2012	Esch_coli_NCTC122	NZ_LT906474.1	4625968	111	0.0024	111	100.0000	110	99.0991	110	99.0991	1	0.9009	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1	100.0000	1	100.0000	707831	431431	60.9511	360624	180133	49.9504	0.8513
LS_12_28_2011	LS_4_3_2012	Esch_coli_PA45B	NZ_CP021288.1	5074754	42086	0.8293	42081	99.9881	41113	97.6997	41116	97.6952	975	2.3167	5	0.5128	2	0.2051	3	0.3077	3	0.3077	970	99.4872	955	97.9487	62573	28610	45.7226	418842	35304	8.4290	0.9177
LS_12_28_2011	LS_4_3_2012	Esch_coli_Santai	NZ_CP007592.1	5104557	302	0.0059	301	99.6689	300	99.6678	301	99.6689	3	0.9934	2	66.6667	1	33.3333	1	33.3333	1	33.3333	1	33.3333	1	33.3333	712738	426789	59.8802	461883	183173	39.6579	0.8548
