sample	totalkmers	distinct	pkmers	pkcov	pan_percent	i	strain	relabund	gkmers	ikmers	skmers	cov	kcov	gcov	acct	even	score0	spec	wcov	score
LS_12_28_2011	5694062492	1386208369	66953	100.226	11.785	0.0	Esch_coli_PA45B	0.111611	50048	50040	66953	0.987	130.182	126.982	0.958	0.987	0.907	1.014	130.491	0.919
LS_4_3_2012	7458163718	1422199332	97949	205.762	27.023	0.0	Esch_coli_Santai	0.191154	50008	49961	97949	0.790	366.411	285.086	0.717	0.790	0.288	0.814	293.845	0.354
LS_4_3_2012	7458163718	1422199332	97949	205.762	27.023	1.0	Esch_coli_EC-1639	0.039038	49632	22696	58484	0.563	105.816	58.662	0.237	0.563	0.012	0.288	29.916	0.042
LS_8_7_2012	9439411799	1928362399	81353	66.363	5.719	0.0	Esch_coli_118UI	0.051642	50724	50670	81353	0.901	108.665	96.102	0.919	0.901	0.663	0.985	105.285	0.673
LS_8_7_2012	9439411799	1928362399	81353	66.363	5.719	1.0	Esch_coli_2014C-3338	0.003002	47265	19146	35679	0.736	8.248	5.996	0.267	0.738	0.061	0.571	4.666	0.107
LS_11_6_2012	6780069166	1499583594	75740	150.441	16.806	0.0	Esch_coli_118UI	0.153324	50724	50674	75740	0.883	236.614	204.942	0.929	0.883	0.633	1.011	235.826	0.640
LS_1_26_2013	8571131772	1776462203	28898	1.590	0.054	0.0	Esch_coli_NCTC9087	0.000332	45206	45152	28898	0.416	1.530	0.629	0.625	0.891	0.205	0.992	1.488	0.206
LS_1_26_2013	8571131772	1776462203	28898	1.590	0.054	1.0	Esch_coli_118UI	0.000125	50724	23832	10122	0.173	1.267	0.212	0.303	0.903	0.041	0.971	1.156	0.043
LS_2_8_2013	4511992997	1172857054	51469	3.576	0.408	0.0	Esch_coli_EC-1639	0.002328	49632	49418	51469	0.733	2.930	2.116	0.577	0.833	0.192	0.655	1.887	0.293
LS_2_25_2013	3313714590	975578509	54298	2.647	0.434	0.0	Esch_coli_EC-1639	0.003617	49632	49600	54298	0.890	2.758	2.415	0.847	0.977	0.670	0.932	2.528	0.719
LS_2_25_2013	3313714590	975578509	54298	2.647	0.434	1.0	Esch_coli_118UI	0.000510	50724	11527	10171	0.252	1.358	0.333	0.179	0.889	0.033	0.938	1.211	0.036
LS_3_24_2013	6096240501	1340291821	35139	1.578	0.091	0.0	Esch_coli_EC-1639	0.000721	49632	49449	35139	0.569	1.580	0.885	0.802	0.969	0.396	0.926	1.432	0.428
LS_3_24_2013	6096240501	1340291821	35139	1.578	0.091	1.0	Esch_coli_118UI	0.000196	50724	11513	7015	0.196	1.232	0.235	0.253	0.936	0.043	1.010	1.184	0.043
LS_4_7_2013	3144601543	883711556	64950	5.645	1.166	0.0	Esch_coli_EC-1639	0.009159	49632	49599	64950	0.975	6.048	5.803	0.797	0.978	0.549	0.740	4.402	0.743
LS_4_7_2013	3144601543	883711556	64950	5.645	1.166	1.0	Esch_coli_118UI	0.004576	50724	11527	16613	0.712	4.094	2.837	0.452	0.756	0.184	0.999	3.996	0.184
LS_4_29_2013	5488351727	1304594225	29690	1.678	0.091	0.0	Esch_coli_118UI	0.000632	50724	50557	29690	0.463	1.510	0.684	0.709	0.934	0.269	0.938	1.378	0.287
LS_4_29_2013	5488351727	1304594225	29690	1.678	0.091	1.0	Esch_coli_EC-1639	0.000203	49632	10429	6285	0.186	1.218	0.225	0.163	0.924	0.024	0.944	1.135	0.026
LS_6_9_2013	6206167343	1326891350	79517	97.367	12.475	0.0	Esch_coli_D5	0.113261	46762	46701	79517	0.959	159.853	150.318	0.924	0.959	0.812	1.003	157.218	0.815
LS_6_9_2013	6206167343	1326891350	79517	97.367	12.475	1.0	Esch_coli_JJ1886	0.005752	49908	26030	34742	0.394	18.760	7.153	0.329	0.394	0.014	0.712	12.799	0.020
LS_7_14_2013	10781764493	1941242963	76653	103.252	7.341	0.0	Esch_coli_D5	0.066700	46762	46703	76653	0.959	163.611	153.789	0.925	0.959	0.811	0.995	159.454	0.815
LS_8_10_2013	7504700252	1535173041	97722	124.404	16.199	0.0	Esch_coli_D5	0.147225	46762	46695	97722	0.962	250.364	236.278	0.925	0.962	0.816	0.992	243.531	0.822
LS_8_10_2013	7504700252	1535173041	97722	124.404	16.199	1.0	Esch_coli_JJ1886	0.007829	49908	26030	52818	0.716	16.974	11.772	0.346	0.716	0.085	0.666	11.002	0.127
LS_9_3_2013	6877177361	1428631207	79448	152.057	17.566	0.0	Esch_coli_D5	0.160020	46762	46701	79448	0.962	249.328	235.337	0.928	0.962	0.815	0.986	241.018	0.827
LS_9_24_2013	8691006343	1629259795	91242	213.307	22.394	0.0	Esch_coli_D5	0.203342	46762	46696	91242	0.959	401.561	377.924	0.924	0.959	0.787	0.965	379.972	0.815
LS_10_27_2013	6982223080	1442354070	86532	121.857	15.102	0.0	Esch_coli_D5	0.137348	46762	46697	86532	0.960	217.822	205.080	0.926	0.960	0.806	0.985	210.426	0.818
LS_10_27_2013	6982223080	1442354070	86532	121.857	15.102	1.0	Esch_coli_JJ1886	0.006873	49908	26030	41723	0.524	18.957	9.615	0.330	0.524	0.031	0.657	12.029	0.047
LS_11_10_2013	6887839556	1386566026	70787	122.183	12.557	0.0	Esch_coli_D5	0.113824	46762	46703	70787	0.957	178.720	167.658	0.923	0.957	0.801	1.009	176.783	0.808
LS_12_14_2013	7978372891	1600753047	76899	122.468	11.804	0.0	Esch_coli_D5	0.107652	46762	46702	76899	0.955	196.149	183.673	0.929	0.955	0.803	1.007	193.613	0.808
LS_2_17_2014	6249096699	1457942619	79059	49.209	6.226	0.0	Esch_coli_MVAST0167	0.056613	47349	47308	79059	0.998	75.546	74.717	0.917	0.998	0.887	1.028	76.959	0.912
LS_2_17_2014	6249096699	1457942619	79059	49.209	6.226	1.0	Esch_coli_ST540_GCF_000597845.1	0.002801	46091	22894	31836	0.568	6.875	3.798	0.277	0.581	0.005	10.991	73.762	0.053
LS_3_23_2014	9240394320	1811656831	66523	109.084	7.853	0.0	Esch_coli_MVAST0167	0.071933	47349	47333	66523	0.998	142.359	140.380	0.927	0.998	0.898	1.027	144.381	0.922
LS_5_4_2014	7673782398	1651422027	86270	123.252	13.856	0.0	Esch_coli_MVAST0167	0.127112	47349	47303	86270	0.998	208.111	206.008	0.924	0.998	0.903	1.019	210.156	0.920
LS_5_4_2014	7673782398	1651422027	86270	123.252	13.856	1.0	Esch_coli_MSHS_133	0.003777	47992	20347	39041	0.644	9.827	6.039	0.160	0.646	0.022	0.519	4.934	0.043
LS_6_16_2014	8761231615	1777312689	79192	100.241	9.061	0.0	Esch_coli_MVAST0167	0.083208	47349	47306	79192	0.998	155.612	153.965	0.926	0.998	0.901	1.022	157.569	0.921
LS_8_22_2014	10123586200	2062094843	89674	47.065	4.169	0.0	Esch_coli_MVAST0167	0.024045	47349	47297	89674	0.998	51.970	51.411	0.581	0.998	0.261	0.452	23.253	0.578
LS_8_22_2014	10123586200	2062094843	89674	47.065	4.169	1.0	Esch_coli_AR_0061	0.021242	45120	21484	42459	0.780	61.851	47.661	0.587	0.780	0.243	0.870	52.982	0.279
LS_8_22_2014	10123586200	2062094843	89674	47.065	4.169	2.0	Esch_coli_NCTC122	0.012061	45146	6495	25692	0.492	56.821	27.045	0.249	0.492	0.030	1.007	53.938	0.030
LS_8_25_2014	11234968256	2195808360	106572	64.937	6.160	0.0	Esch_coli_AR_0061	0.046126	45120	45046	106572	0.917	126.250	114.854	0.754	0.917	0.485	0.833	104.265	0.582
LS_8_25_2014	11234968256	2195808360	106572	64.937	6.160	1.0	Esch_coli_MVAST0167	0.005415	47349	23713	65248	0.976	13.336	12.848	0.181	0.976	0.064	0.382	5.024	0.169
LS_8_25_2014	11234968256	2195808360	106572	64.937	6.160	2.0	Esch_coli_NCTC122	0.022114	45146	6494	42094	0.579	98.336	55.033	0.265	0.579	0.047	0.913	85.299	0.051
LS_9_28_2014	8317002504	1694139174	70071	96.337	8.116	0.0	Esch_coli_2011C-3911	0.071819	47705	47652	70071	0.917	138.069	125.211	0.894	0.917	0.688	1.002	137.409	0.690
LS_11_16_2014	11808189897	2108057142	90585	82.427	6.323	0.0	Esch_coli_2011C-3911	0.055581	47705	47644	90585	0.929	149.644	137.577	0.887	0.929	0.691	0.972	144.362	0.712
LS_11_16_2014	11808189897	2108057142	90585	82.427	6.323	1.0	Esch_coli_MVAST0167	0.002096	47349	23769	46315	0.927	5.709	5.227	0.149	0.932	0.072	0.603	3.399	0.120
LS_12_7_2014	8483740664	1890232763	83391	24.198	2.379	0.0	Esch_coli_MVAST0167	0.020415	47349	47308	83391	0.998	36.987	36.578	0.866	0.998	0.831	0.966	35.388	0.861
LS_12_7_2014	8483740664	1890232763	83391	24.198	2.379	1.0	Esch_coli_118UI	0.002597	50724	25541	36168	0.746	5.941	4.343	0.417	0.756	0.161	0.906	5.256	0.178
