sample1	sample2	ref	scaffold	length	common	commonPct	single	singlePct	singleAgree	singleAgreePct	multi	multiPct	sharedAlleles	sharedAllelesPct	variants	variantPct	commonVariant	commonVariantPct	variantExact	variantExactPct	AnotB	AnotBpct	BnotA	BnotApct	Agaps	AgapPct	Bgaps	BgapPct	gapJaccardSim
ERR3405458	ERR3405460	Ente_casseliflavus_EGM182	NZ_CP050490.1	3450044	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1216649	100.0000	1195992	55.2825	0.8008
ERR3405458	ERR3405460	Ente_casseliflavus_FDAARGOS_998	NZ_CP066024.1	3495847	100	0.0029	100	100.0000	100	100.0000	0	0.0000	100	100.0000	10	10.0000	10	100.0000	10	100.0000	0	0.0000	0	0.0000	1284757	100.0000	1622981	67.5194	0.9212
ERR3405458	ERR3405460	Ente_faecalis_FC	NZ_CP028835.1	2934454	22491	0.7664	22454	99.8355	22372	99.6348	37	0.1645	22409	99.6354	140	0.6225	58	41.4286	21	15.0000	56	40.0000	53	37.8571	136546	95.1152	226463	61.5465	0.9615
ERR3405458	ERR3405460	Ente_faecalis_FDAARGOS_324	NZ_CP028285.1	2928142	92255	3.1506	92226	99.9686	92154	99.9219	29	0.0314	92183	99.9220	114	0.1236	42	36.8421	13	11.4035	86	75.4386	13	11.4035	161882	75.8682	120517	94.9111	0.9805
ERR3405458	ERR3405460	Ente_faecalis_L12	NZ_CP018102.1	2668255	178076	6.6739	178036	99.9775	177876	99.9101	40	0.0225	177916	99.9102	207	0.1162	47	22.7053	7	3.3816	186	89.8551	10	4.8309	58740	79.7583	94018	47.6164	0.9752
ERR3405458	ERR3405460	Ente_faecalis_LD33	NZ_CP014949.1	2803429	2409	0.0859	2409	100.0000	2397	99.5019	0	0.0000	2397	99.5019	24	0.9963	12	50.0000	12	50.0000	10	41.6667	2	8.3333	121442	67.5903	98994	72.2640	0.9702
ERR3405458	ERR3405460	Ente_faecalis_SGAir0397	NZ_CP039434.1	2696714	1269	0.0471	1268	99.9212	1263	99.6057	1	0.0788	1264	99.6060	8	0.6304	3	37.5000	2	25.0000	3	37.5000	3	37.5000	113858	75.0382	130931	72.5344	0.9711
ERR3405458	ERR3405460	Ente_faecium_DT1-1	NZ_CP050255.1	2684010	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1466766	67.4339	1599360	60.4779	0.5962
ERR3405458	ERR3405460	Ente_faecium_E0139	NZ_LR132067.1	2458403	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	2016278	100.0000	1880236	91.4291	0.2815
ERR3405458	ERR3405460	Ente_faecium_E8691	NZ_LR135435.1	2640062	86	0.0033	86	100.0000	86	100.0000	0	0.0000	86	100.0000	2	2.3256	2	100.0000	2	100.0000	0	0.0000	0	0.0000	1519624	100.0000	2033899	66.0622	0.6584
ERR3405458	ERR3405460	Ente_gilvus_CR1	NZ_CP030932.1	2863043	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1474228	100.0000	1280847	100.0000	0.8771
