ref	name	length	coverage	uReads	abundance	median	callable	callablePct	confirmed	confirmedPct	snps	snpPct	multi	multiPct	lowmq	lowmqPct	high	highPct	gapCount	gapLength
Ente_avium_FDAARGOS_184	NZ_CP024590.1	3723378	0.007	2579	0.259	0	0	0.000	0	0.000	0	0.000	0	0.000	27124	0.728	21355	0.574	0	0
Ente_avium_352	NZ_CP034169.1	4794392	0.007	24	0.002	0	0	0.000	0	0.000	0	0.000	0	0.000	16597	0.346	9566	0.200	1	1483694
Ente_faecium_HY07	NZ_CP032308.1	2585631	0.009	129	0.010	0	9	0.000	9	100.000	0	0.000	0	0.000	22547	0.872	18175	0.703	0	0
Ente_faecium_HB-1	NZ_CP040878.1	2618436	0.010	41	0.005	0	0	0.000	0	0.000	0	0.000	0	0.000	19973	0.763	14931	0.570	1	667011
Ente_lactis_KCTC_21015	NZ_CP065211.1	2720716	0.008	6	0.001	0	0	0.000	0	0.000	0	0.000	0	0.000	19503	0.717	15145	0.557	1	735828
Ente_faecalis_JY32	NZ_CP045045.1	2933718	0.010	203	0.019	0	164	0.006	141	85.976	23	14.024	0	0.000	14260	0.486	10642	0.363	0	0
Ente_gallinarum_FDAARGOS_728	NZ_CP046307.1	3274932	0.007	605	0.030	0	235	0.007	200	85.106	35	14.894	0	0.000	15851	0.484	10609	0.324	1	1137213
Ente_faecalis_LD33	NZ_CP014949.1	2803429	0.010	252	0.025	0	520	0.019	476	91.538	44	8.462	0	0.000	14695	0.524	10915	0.389	0	0
Ente_durans_KCTC_13289	NZ_CP065535.1	2923777	0.008	456	0.023	0	297	0.010	258	86.869	39	13.131	0	0.000	18381	0.629	13366	0.457	1	1049036
TOTAL	-	28378409	0.008	4295	0.374	0	1225	0.004	1084	88.490	141	11.510	0	0.000	168931	0.595	124704	0.439	5	5072782
