ref	name	length	coverage	uReads	abundance	median	callable	callablePct	confirmed	confirmedPct	snps	snpPct	multi	multiPct	lowmq	lowmqPct	high	highPct	gapCount	gapLength
Ente_avium_FDAARGOS_184	NZ_CP024590.1	3723378	8.452	136652	1.242	9	2103434	56.493	2101584	99.912	1847	0.088	9675	0.460	1373111	36.878	32581	0.875	23	372016
Ente_avium_352	NZ_CP034169.1	4794392	6.801	143788	1.095	7	2288219	47.727	2271310	99.261	16846	0.741	14066	0.615	1708677	35.639	84948	1.772	22	224044
Ente_faecium_HY07	NZ_CP032308.1	2585631	0.326	841	0.006	0	18889	0.731	18757	99.301	132	0.699	3	0.016	180345	6.975	6245	0.242	7	164230
Ente_faecium_HB-1	NZ_CP040878.1	2618436	0.530	1548	0.017	0	32364	1.236	32135	99.292	229	0.708	1	0.003	302103	11.538	5022	0.192	9	173986
Ente_lactis_KCTC_21015	NZ_CP065211.1	2720716	1.432	21355	0.218	1	693688	25.497	693012	99.903	674	0.097	156	0.022	310789	11.423	5639	0.207	4	46474
Ente_faecalis_JY32	NZ_CP045045.1	2933718	0.215	1036	0.009	0	11472	0.391	11313	98.614	158	1.379	16	0.139	117900	4.019	28337	0.966	4	135584
Ente_gallinarum_FDAARGOS_728	NZ_CP046307.1	3274932	0.335	10172	0.046	0	133012	4.062	132590	99.683	422	0.317	26	0.020	35211	1.075	23077	0.705	2	52875
Ente_faecalis_LD33	NZ_CP014949.1	2803429	0.803	15072	0.133	1	336018	11.986	335669	99.896	349	0.104	73	0.022	120757	4.307	28954	1.033	0	0
Ente_durans_KCTC_13289	NZ_CP065535.1	2923777	1.659	37967	0.176	1	1303880	44.596	1299365	99.654	4510	0.346	1082	0.083	70898	2.425	9660	0.330	5	71915
TOTAL	-	28378409	2.774	368431	2.942	1	6920976	24.388	6895735	99.635	25167	0.365	25098	0.363	4219791	14.870	224463	0.791	76	1241124
