ref	name	length	coverage	uReads	abundance	median	callable	callablePct	confirmed	confirmedPct	snps	snpPct	multi	multiPct	lowmq	lowmqPct	high	highPct	gapCount	gapLength
Esch_coli_EC-1639	NZ_LR025101.1	5059899	3.616	136764	0.440	8	46405	0.917	45672	98.420	733	1.580	8	0.017	2770492	54.754	1987891	39.287	33	411837
Esch_coli_EC-1639	NZ_LR025102.1	94720	0.109	231	0.001	0	544	0.574	543	99.816	1	0.184	0	0.000	3829	4.042	3580	3.780	0	0
Esch_coli_EC-1639	NZ_LR025103.1	31016	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	31016
Esch_coli_EC-1639	NZ_LR025104.1	21855	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	21855
Esch_coli_EC-1639	NZ_LR025105.1	63589	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	63589
Esch_coli_118UI	NZ_CP032515.1	5205677	113.667	3351176	10.941	134	2942794	56.530	2940962	99.938	1832	0.062	78	0.003	1825156	35.061	301981	5.801	26	463211
Esch_coli_118UI	NZ_CP032517.1	4724	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0
Esch_coli_118UI	NZ_CP032516.1	90328	0.056	2	0.000	0	5	0.006	5	100.000	0	0.000	0	0.000	845	0.935	0	0.000	0	0
Esch_coli_D5	NZ_CP010145.1	4817460	0.452	20204	0.126	0	5039	0.105	4899	97.222	140	2.778	0	0.000	844082	17.521	462623	9.603	20	454803
Esch_coli_D5	NZ_CP010146.1	112874	0.070	44	0.000	0	611	0.541	609	99.673	2	0.327	0	0.000	2358	2.089	1485	1.316	0	0
Esch_coli_D5	NZ_CP010147.1	88754	0.054	13	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	2427	2.735	1473	1.660	0	0
Esch_coli_2011C-3911	NZ_CP015240.1	4863599	0.454	30977	0.166	0	8816	0.181	8602	97.573	214	2.427	0	0.000	850599	17.489	485154	9.975	24	511894
Esch_coli_2011C-3911	NZ_CP015239.1	125977	0.022	13	0.000	0	25	0.020	24	96.000	1	4.000	0	0.000	53	0.042	0	0.000	0	0
Esch_coli_PA45B	NZ_CP021288.1	5074754	0.350	28560	0.069	0	11989	0.236	11687	97.481	302	2.519	0	0.000	693575	13.667	418774	8.252	23	687694
Esch_coli_PA45B	NZ_CP021289.1	147172	0.080	46	0.000	0	710	0.482	705	99.296	5	0.704	0	0.000	1169	0.794	0	0.000	0	0
Esch_coli_MSHS_133	NZ_CP041304.1	4946083	0.582	68240	0.153	0	22842	0.462	22452	98.293	390	1.707	1	0.004	1286705	26.015	949561	19.198	18	391336
Esch_coli_MSHS_133	NZ_CP041303.1	157660	0.038	13	0.000	0	7	0.004	7	100.000	0	0.000	0	0.000	2207	1.400	1469	0.932	0	0
Esch_coli_NCTC122	NZ_LT906474.1	4625968	0.480	20530	0.106	0	9410	0.203	9255	98.353	155	1.647	0	0.000	812439	17.563	437134	9.450	13	244245
Esch_coli_MVAST0167	NZ_CP014492.1	4806946	0.364	26200	0.063	0	11395	0.237	11131	97.683	264	2.317	0	0.000	670570	13.950	391804	8.151	16	430142
Esch_coli_MVAST0167	NZ_CP014493.1	128305	0.113	59	0.000	0	527	0.411	527	100.000	0	0.000	0	0.000	1224	0.954	0	0.000	0	0
Esch_coli_MVAST0167	NZ_CP014494.1	78992	0.041	26	0.000	0	88	0.111	87	98.864	1	1.136	0	0.000	0	0.000	0	0.000	0	0
Esch_coli_Santai	NZ_CP007592.1	5104557	0.456	41344	0.097	0	12803	0.251	12531	97.875	272	2.125	2	0.016	901778	17.666	538316	10.546	20	519022
Esch_coli_AR_0061	NZ_CP020058.1	4595238	0.466	17269	0.091	0	7406	0.161	7238	97.732	168	2.268	0	0.000	818283	17.807	445634	9.698	16	286266
Esch_coli_AR_0061	NZ_CP020059.1	87982	0.022	57	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	3615	4.109	3261	3.706	0	0
Esch_coli_AR_0061	NZ_CP020060.1	50999	0.040	2	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	63	0.124	0	0.000	0	0
TOTAL	-	50385128	13.289	3741770	12.252	0	3081416	6.116	3076936	99.855	4480	0.145	89	0.003	11491469	22.807	6430140	12.762	212	4516910
