ref	name	length	coverage	uReads	abundance	median	callable	callablePct	confirmed	confirmedPct	snps	snpPct	multi	multiPct	lowmq	lowmqPct	high	highPct	gapCount	gapLength
Esch_coli_EC-1639	NZ_LR025101.1	5059899	0.594	23166	0.043	0	35410	0.700	34690	97.967	720	2.033	0	0.000	945074	18.678	434491	8.587	25	486374
Esch_coli_EC-1639	NZ_LR025102.1	94720	0.976	738	0.001	0	1322	1.396	1283	97.050	39	2.952	1	0.076	32707	34.530	17520	18.497	2	17829
Esch_coli_EC-1639	NZ_LR025103.1	31016	1.894	477	0.000	1	14148	45.615	13858	97.950	290	2.050	0	0.000	5	0.016	0	0.000	0	0
Esch_coli_EC-1639	NZ_LR025104.1	21855	0.430	82	0.000	0	1956	8.950	1886	96.421	70	3.579	0	0.000	227	1.039	25	0.114	0	0
Esch_coli_EC-1639	NZ_LR025105.1	63589	0.028	13	0.000	0	104	0.164	104	100.000	0	0.000	0	0.000	1518	2.387	1443	2.269	0	0
Esch_coli_118UI	NZ_CP032515.1	5205677	0.635	23622	0.045	0	49910	0.959	49000	98.177	910	1.823	1	0.002	1019699	19.588	492541	9.462	18	317169
Esch_coli_118UI	NZ_CP032517.1	4724	1.162	53	0.000	0	1409	29.826	1376	97.658	33	2.342	0	0.000	0	0.000	3	0.064	0	0
Esch_coli_118UI	NZ_CP032516.1	90328	2.030	763	0.002	1	1705	1.888	1646	96.540	59	3.460	0	0.000	39974	44.254	10387	11.499	2	16442
Esch_coli_D5	NZ_CP010145.1	4817460	3.180	87535	0.319	3	168173	3.491	167144	99.388	1029	0.612	106	0.063	2569474	53.337	1402518	29.113	12	119308
Esch_coli_D5	NZ_CP010146.1	112874	0.289	1150	0.001	0	1293	1.146	1211	93.658	82	6.342	0	0.000	14698	13.022	10296	9.122	1	40019
Esch_coli_D5	NZ_CP010147.1	88754	0.631	490	0.001	0	2508	2.826	2266	90.351	242	9.649	0	0.000	15504	17.469	7008	7.896	1	14126
Esch_coli_2011C-3911	NZ_CP015240.1	4863599	2.981	102924	0.320	3	95117	1.956	93547	98.349	1569	1.650	29	0.030	2508393	51.575	1435941	29.524	24	272929
Esch_coli_2011C-3911	NZ_CP015239.1	125977	0.184	519	0.000	0	410	0.325	393	95.854	17	4.146	0	0.000	6642	5.272	3424	2.718	0	0
Esch_coli_PA45B	NZ_CP021288.1	5074754	0.957	22999	0.033	0	155805	3.070	154649	99.258	1156	0.742	22	0.014	1114558	21.963	289223	5.699	23	417847
Esch_coli_PA45B	NZ_CP021289.1	147172	1.123	792	0.001	0	4039	2.744	4002	99.084	37	0.916	0	0.000	44693	30.368	19955	13.559	3	39944
Esch_coli_MSHS_133	NZ_CP041304.1	4946083	0.713	34695	0.045	0	88048	1.780	86918	98.717	1130	1.284	27	0.031	923817	18.678	434458	8.784	13	197062
Esch_coli_MSHS_133	NZ_CP041303.1	157660	0.358	1092	0.001	0	1758	1.115	1613	91.752	145	8.248	0	0.000	15784	10.011	7086	4.494	0	0
Esch_coli_NCTC122	NZ_LT906474.1	4625968	15.718	440913	1.319	24	399893	8.645	396391	99.124	3499	0.875	115	0.029	2773338	59.952	1284628	27.770	13	118459
Esch_coli_MVAST0167	NZ_CP014492.1	4806946	3.231	91970	0.129	3	2526106	52.551	2525334	99.969	770	0.030	1117	0.044	1014968	21.115	131498	2.736	0	0
Esch_coli_MVAST0167	NZ_CP014493.1	128305	5.152	3658	0.006	5	69590	54.238	69519	99.898	71	0.102	48	0.069	48042	37.444	6103	4.757	0	0
Esch_coli_MVAST0167	NZ_CP014494.1	78992	0.094	466	0.000	0	925	1.171	888	96.000	37	4.000	0	0.000	1106	1.400	1197	1.515	0	0
Esch_coli_Santai	NZ_CP007592.1	5104557	1.346	106166	0.144	1	93238	1.827	91442	98.074	1794	1.924	15	0.016	1753176	34.345	1127524	22.089	46	486095
Esch_coli_AR_0061	NZ_CP020058.1	4595238	24.399	618132	1.892	35	715956	15.580	712395	99.503	3557	0.497	138	0.019	2655864	57.796	1088300	23.683	13	106919
Esch_coli_AR_0061	NZ_CP020059.1	87982	0.137	9292	0.008	0	362	0.411	334	92.265	28	7.756	1	0.276	6789	7.716	15722	17.870	0	0
Esch_coli_AR_0061	NZ_CP020060.1	50999	0.433	4299	0.008	0	179	0.351	173	96.648	6	3.352	0	0.000	11861	23.257	9960	19.530	0	0
TOTAL	-	50385128	4.613	1576006	4.320	1	4429364	8.791	4412062	99.609	17290	0.390	1620	0.037	17517911	34.768	8231251	16.337	196	2650522
