ref	name	length	coverage	uReads	abundance	median	callable	callablePct	confirmed	confirmedPct	snps	snpPct	multi	multiPct	lowmq	lowmqPct	high	highPct	gapCount	gapLength
Esch_coli_EC-1639	NZ_LR025101.1	5059899	0.364	8854	0.026	0	8490	0.168	8376	98.657	114	1.343	2	0.024	740609	14.637	404535	7.995	24	580065
Esch_coli_EC-1639	NZ_LR025102.1	94720	0.283	2308	0.006	0	354	0.374	350	98.870	4	1.130	0	0.000	25543	26.967	23833	25.162	0	0
Esch_coli_EC-1639	NZ_LR025103.1	31016	0.018	4	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0
Esch_coli_EC-1639	NZ_LR025104.1	21855	0.012	2	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0
Esch_coli_EC-1639	NZ_LR025105.1	63589	0.018	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	1171	1.842	980	1.541	0	0
Esch_coli_118UI	NZ_CP032515.1	5205677	0.373	15574	0.047	0	13797	0.265	13656	98.978	141	1.022	1	0.007	787757	15.133	439917	8.451	19	500786
Esch_coli_118UI	NZ_CP032517.1	4724	0.139	7	0.000	0	8	0.169	8	100.000	0	0.000	0	0.000	126	2.667	123	2.604	0	0
Esch_coli_118UI	NZ_CP032516.1	90328	0.238	295	0.001	0	407	0.451	402	98.771	5	1.229	0	0.000	36638	40.561	34368	38.048	0	0
Esch_coli_D5	NZ_CP010145.1	4817460	0.308	7846	0.046	0	6627	0.138	6523	98.431	104	1.569	0	0.000	516474	10.721	250672	5.203	12	309511
Esch_coli_D5	NZ_CP010146.1	112874	0.156	106	0.000	0	404	0.358	403	99.752	1	0.248	0	0.000	6073	5.380	2942	2.606	0	0
Esch_coli_D5	NZ_CP010147.1	88754	0.289	410	0.001	0	833	0.939	830	99.640	3	0.360	0	0.000	15574	17.547	11388	12.831	1	24687
Esch_coli_2011C-3911	NZ_CP015240.1	4863599	0.278	21544	0.107	0	5765	0.119	5604	97.207	161	2.793	0	0.000	464647	9.554	226243	4.652	23	687560
Esch_coli_2011C-3911	NZ_CP015239.1	125977	0.316	222	0.000	0	2506	1.989	2445	97.566	61	2.437	3	0.120	10879	8.636	4947	3.927	1	22379
Esch_coli_PA45B	NZ_CP021288.1	5074754	2.486	41316	0.093	3	62615	1.234	62099	99.176	516	0.824	5	0.008	2627876	51.783	1660512	32.721	43	592590
Esch_coli_PA45B	NZ_CP021289.1	147172	0.847	4684	0.011	1	10356	7.037	10275	99.218	81	0.782	4	0.039	59497	40.427	56656	38.496	1	10570
Esch_coli_MSHS_133	NZ_CP041304.1	4946083	1.513	61010	0.127	1	856842	17.324	856282	99.935	560	0.065	24	0.003	1237555	25.021	729833	14.756	29	338987
Esch_coli_MSHS_133	NZ_CP041303.1	157660	0.385	856	0.002	0	3835	2.432	3788	98.774	47	1.226	0	0.000	21449	13.605	12455	7.900	1	36182
Esch_coli_NCTC122	NZ_LT906474.1	4625968	0.284	1549	0.007	0	3395	0.073	3356	98.851	39	1.149	0	0.000	489967	10.592	224305	4.849	26	716633
Esch_coli_MVAST0167	NZ_CP014492.1	4806946	130.819	4224287	9.433	133	4339020	90.266	4338768	99.994	249	0.006	267	0.006	901237	18.749	113067	2.352	1	7343
Esch_coli_MVAST0167	NZ_CP014493.1	128305	228.159	148910	0.384	251	88775	69.191	88733	99.953	39	0.044	40	0.045	43849	34.176	1400	1.091	1	7111
Esch_coli_MVAST0167	NZ_CP014494.1	78992	0.230	578	0.001	0	4371	5.533	4271	97.712	100	2.288	0	0.000	1348	1.707	1967	2.490	1	52336
Esch_coli_Santai	NZ_CP007592.1	5104557	0.295	10381	0.023	0	6436	0.126	6341	98.524	95	1.476	0	0.000	505471	9.902	215322	4.218	17	453772
Esch_coli_AR_0061	NZ_CP020058.1	4595238	0.298	2715	0.013	0	3222	0.070	3192	99.069	30	0.931	0	0.000	478345	10.410	201233	4.379	19	523922
Esch_coli_AR_0061	NZ_CP020059.1	87982	0.054	53	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	5503	6.255	4682	5.322	0	0
Esch_coli_AR_0061	NZ_CP020060.1	50999	0.158	1	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	3975	7.794	1788	3.506	0	0
TOTAL	-	50385128	14.604	4553512	10.329	0	5418058	10.753	5415702	99.957	2350	0.043	346	0.006	8981563	17.826	4623168	9.176	219	4864434
