ref	name	length	coverage	uReads	abundance	median	callable	callablePct	confirmed	confirmedPct	snps	snpPct	multi	multiPct	lowmq	lowmqPct	high	highPct	gapCount	gapLength
Esch_coli_EC-1639	NZ_LR025101.1	5059899	0.392	15710	0.037	0	3631	0.072	3557	97.962	74	2.039	1	0.028	803946	15.889	421074	8.322	24	613087
Esch_coli_EC-1639	NZ_LR025102.1	94720	0.153	34	0.000	0	868	0.916	866	99.770	2	0.230	0	0.000	2952	3.117	583	0.615	1	52091
Esch_coli_EC-1639	NZ_LR025103.1	31016	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	31016
Esch_coli_EC-1639	NZ_LR025104.1	21855	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	21855
Esch_coli_EC-1639	NZ_LR025105.1	63589	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	63589
Esch_coli_118UI	NZ_CP032515.1	5205677	0.405	85116	0.201	0	6192	0.119	6071	98.046	121	1.954	1	0.016	892823	17.151	567376	10.899	29	734720
Esch_coli_118UI	NZ_CP032517.1	4724	9.500	11872	0.011	47	592	12.532	533	90.034	59	9.966	0	0.000	379	8.023	2154	45.597	0	0
Esch_coli_118UI	NZ_CP032516.1	90328	0.029	65	0.000	0	85	0.094	82	96.471	3	3.529	0	0.000	1818	2.013	1296	1.435	0	0
Esch_coli_D5	NZ_CP010145.1	4817460	88.464	1792883	8.113	98	2304345	47.833	2302781	99.932	1557	0.068	305	0.013	2755928	57.207	487520	10.120	12	133394
Esch_coli_D5	NZ_CP010146.1	112874	0.099	652	0.001	0	650	0.576	615	94.615	35	5.385	0	0.000	2536	2.247	1017	0.901	1	59590
Esch_coli_D5	NZ_CP010147.1	88754	0.285	923	0.002	0	1790	2.017	1785	99.721	5	0.279	0	0.000	3388	3.817	3086	3.477	0	0
Esch_coli_2011C-3911	NZ_CP015240.1	4863599	15.473	29259	0.113	26	50302	1.034	49797	98.996	505	1.004	18	0.036	3364618	69.180	1440057	29.609	26	434723
Esch_coli_2011C-3911	NZ_CP015239.1	125977	0.051	17	0.000	0	218	0.173	213	97.706	5	2.294	0	0.000	3270	2.596	2466	1.958	0	0
Esch_coli_PA45B	NZ_CP021288.1	5074754	0.323	18267	0.032	0	10802	0.213	10671	98.787	131	1.213	1	0.009	574543	11.322	293426	5.782	21	597672
Esch_coli_PA45B	NZ_CP021289.1	147172	0.077	1912	0.003	0	493	0.335	483	97.972	10	2.028	0	0.000	2432	1.652	1263	0.858	0	0
Esch_coli_MSHS_133	NZ_CP041304.1	4946083	0.390	26201	0.042	0	8556	0.173	8381	97.955	175	2.046	1	0.012	740560	14.973	395241	7.991	24	502866
Esch_coli_MSHS_133	NZ_CP041303.1	157660	0.175	389	0.001	0	1873	1.188	1857	99.146	16	0.854	0	0.000	2829	1.794	1603	1.017	1	33435
Esch_coli_NCTC122	NZ_LT906474.1	4625968	1.371	12798	0.048	1	8085	0.175	7979	98.689	106	1.311	0	0.000	2218726	47.962	1453639	31.423	18	263845
Esch_coli_MVAST0167	NZ_CP014492.1	4806946	0.475	45112	0.078	0	87451	1.819	87306	99.834	145	0.166	2	0.002	559816	11.646	311068	6.471	6	107921
Esch_coli_MVAST0167	NZ_CP014493.1	128305	0.030	504	0.001	0	5	0.004	5	100.000	0	0.000	0	0.000	1870	1.457	1913	1.491	0	0
Esch_coli_MVAST0167	NZ_CP014494.1	78992	0.007	3	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0
Esch_coli_Santai	NZ_CP007592.1	5104557	0.701	20451	0.035	0	8531	0.167	8448	99.027	83	0.973	0	0.000	1859851	36.435	1306609	25.597	29	584827
Esch_coli_AR_0061	NZ_CP020058.1	4595238	1.878	13644	0.052	2	8493	0.185	8396	98.858	97	1.142	0	0.000	2276402	49.538	1367857	29.767	19	241095
Esch_coli_AR_0061	NZ_CP020059.1	87982	0.170	9	0.000	0	200	0.227	200	100.000	0	0.000	0	0.000	3938	4.476	882	1.002	1	37721
Esch_coli_AR_0061	NZ_CP020060.1	50999	0.073	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	1317	2.582	362	0.710	0	0
TOTAL	-	50385128	10.830	2075821	8.770	0	2503162	4.968	2500026	99.875	3129	0.125	329	0.013	16073942	31.902	8060492	15.998	215	4513447
