sample	ref	name	length	coverage	uReads	abundance	median	callable	callablePct	confirmed	confirmedPct	snps	snpPct	multi	multiPct	lowmq	lowmqPct	high	highPct	gapCount	gapLength
LS_12_28_2011	Esch_coli_EC-1639	NZ_LR025101.1	5059899	0.304	8943	0.036	0	2480	0.049	2411	97.218	69	2.783	1	0.040	579884	11.460	288491	5.702	24	682571
LS_12_28_2011	Esch_coli_EC-1639	NZ_LR025102.1	94720	0.264	791	0.003	0	15	0.016	14	93.333	1	6.667	0	0.000	22183	23.420	19720	20.819	0	0
LS_12_28_2011	Esch_coli_EC-1639	NZ_LR025103.1	31016	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	31016
LS_12_28_2011	Esch_coli_EC-1639	NZ_LR025104.1	21855	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	21855
LS_12_28_2011	Esch_coli_EC-1639	NZ_LR025105.1	63589	0.005	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0
LS_12_28_2011	Esch_coli_118UI	NZ_CP032515.1	5205677	0.302	8018	0.033	0	2589	0.050	2534	97.876	55	2.124	0	0.000	593249	11.396	293825	5.644	22	633308
LS_12_28_2011	Esch_coli_118UI	NZ_CP032517.1	4724	0.080	2	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	187	3.959	175	3.704	0	0
LS_12_28_2011	Esch_coli_118UI	NZ_CP032516.1	90328	0.157	287	0.001	0	2	0.002	2	100.000	0	0.000	0	0.000	30785	34.081	28651	31.719	0	0
LS_12_28_2011	Esch_coli_D5	NZ_CP010145.1	4817460	0.256	312	0.002	0	948	0.020	941	99.262	7	0.738	0	0.000	415866	8.632	148020	3.073	18	633665
LS_12_28_2011	Esch_coli_D5	NZ_CP010146.1	112874	0.197	75	0.000	0	482	0.427	479	99.378	3	0.622	0	0.000	6908	6.120	2578	2.284	1	29964
LS_12_28_2011	Esch_coli_D5	NZ_CP010147.1	88754	0.196	39	0.000	0	186	0.210	183	98.387	3	1.613	0	0.000	7187	8.098	3882	4.374	0	0
LS_12_28_2011	Esch_coli_2011C-3911	NZ_CP015240.1	4863599	0.242	2667	0.018	0	1896	0.039	1789	94.357	107	5.643	0	0.000	378151	7.775	128650	2.645	23	692448
LS_12_28_2011	Esch_coli_2011C-3911	NZ_CP015239.1	125977	0.145	110	0.000	0	22	0.017	21	95.455	1	4.545	0	0.000	8469	6.723	4467	3.546	0	0
LS_12_28_2011	Esch_coli_PA45B	NZ_CP021288.1	5074754	84.659	2825641	8.664	86	4499447	88.663	4499039	99.991	407	0.009	130	0.003	1002794	19.760	106953	2.108	3	62573
LS_12_28_2011	Esch_coli_PA45B	NZ_CP021289.1	147172	0.225	8681	0.027	0	401	0.272	398	99.252	3	0.748	0	0.000	50954	34.622	53982	36.680	0	0
LS_12_28_2011	Esch_coli_MSHS_133	NZ_CP041304.1	4946083	0.495	5472	0.015	0	3872	0.078	3831	98.941	41	1.059	0	0.000	1268739	25.651	841336	17.010	26	543396
LS_12_28_2011	Esch_coli_MSHS_133	NZ_CP041303.1	157660	0.169	279	0.001	0	131	0.083	128	97.710	3	2.290	0	0.000	10858	6.887	6106	3.873	1	43905
LS_12_28_2011	Esch_coli_NCTC122	NZ_LT906474.1	4625968	0.248	547	0.004	0	886	0.019	879	99.210	7	0.790	0	0.000	382078	8.259	133299	2.882	21	707831
LS_12_28_2011	Esch_coli_MVAST0167	NZ_CP014492.1	4806946	2.155	8636	0.026	2	12975	0.270	12928	99.638	47	0.362	0	0.000	2487007	51.738	1445135	30.063	39	468766
LS_12_28_2011	Esch_coli_MVAST0167	NZ_CP014493.1	128305	132.267	89439	0.313	153	80138	62.459	80071	99.916	64	0.080	14	0.017	41639	32.453	3225	2.514	1	10083
LS_12_28_2011	Esch_coli_MVAST0167	NZ_CP014494.1	78992	0.038	314	0.001	0	143	0.181	140	97.902	3	2.098	0	0.000	1508	1.909	1932	2.446	0	0
LS_12_28_2011	Esch_coli_Santai	NZ_CP007592.1	5104557	0.258	524	0.002	0	1599	0.031	1594	99.687	5	0.313	0	0.000	427334	8.372	146625	2.872	24	712738
LS_12_28_2011	Esch_coli_AR_0061	NZ_CP020058.1	4595238	0.254	277	0.002	0	1907	0.041	1880	98.584	27	1.416	0	0.000	378072	8.227	123343	2.684	23	662655
LS_12_28_2011	Esch_coli_AR_0061	NZ_CP020059.1	87982	0.049	93	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	4364	4.960	3587	4.077	0	0
LS_12_28_2011	Esch_coli_AR_0061	NZ_CP020060.1	50999	0.205	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	3172	6.220	1090	2.137	0	0
LS_12_28_2011	TOTAL	-	50385128	9.771	2961147	9.149	0	4610119	9.150	4609262	99.981	853	0.019	145	0.003	8101388	16.079	3785072	7.512	228	5936774
LS_4_3_2012	Esch_coli_EC-1639	NZ_LR025101.1	5059899	1.436	243363	0.745	1	198678	3.927	197100	99.206	1578	0.794	55	0.028	1853568	36.633	1407566	27.818	4	52774
LS_4_3_2012	Esch_coli_EC-1639	NZ_LR025102.1	94720	0.900	367	0.001	1	9380	9.903	9375	99.947	5	0.053	1	0.011	9784	10.329	428	0.452	0	0
