ref	name	length	coverage	uReads	abundance	median	callable	callablePct	confirmed	confirmedPct	snps	snpPct	multi	multiPct	lowmq	lowmqPct	high	highPct	gapCount	gapLength
Esch_coli_EC-1639	NZ_LR025101.1	5059899	2.748	68981	0.160	4	124068	2.452	123233	99.327	835	0.673	23	0.019	2636452	52.105	1782461	35.227	16	147725
Esch_coli_EC-1639	NZ_LR025102.1	94720	0.464	392	0.001	0	3417	3.607	3410	99.795	7	0.205	2	0.059	6039	6.376	3912	4.130	0	0
Esch_coli_EC-1639	NZ_LR025103.1	31016	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	31016
Esch_coli_EC-1639	NZ_LR025104.1	21855	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	21855
Esch_coli_EC-1639	NZ_LR025105.1	63589	0.024	12	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0
Esch_coli_118UI	NZ_CP032515.1	5205677	53.246	1547332	3.650	61	2964923	56.956	2963346	99.947	1577	0.053	90	0.003	1817215	34.908	220395	4.234	30	399664
Esch_coli_118UI	NZ_CP032517.1	4724	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0
Esch_coli_118UI	NZ_CP032516.1	90328	0.162	23	0.000	0	756	0.837	739	97.751	17	2.249	0	0.000	1390	1.539	119	0.132	0	0
Esch_coli_D5	NZ_CP010145.1	4817460	0.447	9370	0.042	0	14299	0.297	14034	98.147	265	1.853	1	0.007	661136	13.724	256663	5.328	28	584913
Esch_coli_D5	NZ_CP010146.1	112874	0.105	48	0.000	0	591	0.524	588	99.492	3	0.508	0	0.000	3248	2.878	1569	1.390	0	0
Esch_coli_D5	NZ_CP010147.1	88754	0.247	58	0.000	0	1643	1.851	1628	99.087	15	0.913	0	0.000	4611	5.195	1160	1.307	1	25102
Esch_coli_2011C-3911	NZ_CP015240.1	4863599	0.439	14517	0.056	0	17070	0.351	16748	98.114	322	1.887	3	0.018	659663	13.563	280678	5.771	33	633252
Esch_coli_2011C-3911	NZ_CP015239.1	125977	0.297	177	0.000	0	4154	3.297	4068	97.930	86	2.072	4	0.096	4689	3.722	351	0.279	1	32580
Esch_coli_PA45B	NZ_CP021288.1	5074754	0.488	15219	0.027	0	70438	1.388	69811	99.110	627	0.890	7	0.010	662422	13.053	255968	5.044	33	623809
Esch_coli_PA45B	NZ_CP021289.1	147172	0.703	767	0.001	0	14891	10.118	14751	99.060	140	0.940	2	0.013	8199	5.571	3891	2.644	3	65179
Esch_coli_MSHS_133	NZ_CP041304.1	4946083	2.314	76630	0.124	2	1440674	29.128	1439485	99.917	1189	0.083	224	0.016	1165981	23.574	462646	9.354	25	379801
Esch_coli_MSHS_133	NZ_CP041303.1	157660	0.320	194	0.000	0	4892	3.103	4811	98.344	81	1.656	0	0.000	8069	5.118	1563	0.991	2	65495
Esch_coli_NCTC122	NZ_LT906474.1	4625968	0.469	9676	0.036	0	16881	0.365	16596	98.312	285	1.689	3	0.018	632789	13.679	241540	5.221	19	398566
Esch_coli_MVAST0167	NZ_CP014492.1	4806946	0.444	12919	0.022	0	41683	0.867	41221	98.892	462	1.108	1	0.002	598862	12.458	231682	4.820	25	559432
Esch_coli_MVAST0167	NZ_CP014493.1	128305	1.011	912	0.002	0	18441	14.373	18257	99.002	184	0.998	2	0.011	8815	6.870	4107	3.201	3	43503
Esch_coli_MVAST0167	NZ_CP014494.1	78992	0.376	260	0.000	0	6709	8.493	6585	98.152	124	1.852	13	0.194	638	0.808	166	0.210	1	28827
Esch_coli_Santai	NZ_CP007592.1	5104557	0.453	19856	0.033	0	25022	0.490	24554	98.130	468	1.870	0	0.000	693304	13.582	317763	6.225	30	681432
Esch_coli_AR_0061	NZ_CP020058.1	4595238	0.463	8205	0.031	0	20012	0.435	19689	98.386	323	1.614	0	0.000	628344	13.674	238516	5.191	29	525029
Esch_coli_AR_0061	NZ_CP020059.1	87982	0.043	48	0.000	0	23	0.026	23	100.000	0	0.000	0	0.000	4043	4.595	3526	4.008	0	0
Esch_coli_AR_0061	NZ_CP020060.1	50999	0.090	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	873	1.712	0	0.000	0	0
TOTAL	-	50385128	6.510	1785596	4.187	0	4790587	9.508	4783577	99.854	7010	0.146	375	0.008	10206782	20.258	4308676	8.551	281	5247180
